stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,125.88,9.44,0,0,40.91,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,4,23,1,0,7,0,0,0,23,1,0,0,0,0,0,0,0,1,14,0,0,3,72,18,0,12,2,0,2,13,46,2,14,84,0,0,0,0,0
 24-34,0,0,0.82,1.64,2.46,0,8.21,0,0,0,41.86,1.64,0,0.82,0,0,1.64,0.82,0.82,6.57,22.16,0,0,4.1,79.62,104.25,0.82,1.64,0,0,0.82,0,35.3,0,2.46,55,0,0,0,0,0
 36-46,0,0,0,4.03,0,0,16.11,0.81,0.81,0,95.07,0,0,0.81,0,0,0.81,0,0,1.61,16.92,0,0,5.64,77.34,91.85,3.22,0,0,0,2.42,0,10.47,0,0.81,66.06,0,0,0.81,0,0.81
 48-58,0,0,0,2.87,0,0,101.56,0,0,0,208.86,0,0,1.15,0,0,0.57,0.57,0,1.15,59.68,0,0,1.72,44.76,44.18,2.3,2.3,0,0,1.15,0,3.44,0,0,84.92,0,0,0,0,0.57
 60-70,0.98,0,0,2.94,0.98,0,608.54,0,0.98,0,462.3,0.98,0,0,0.98,0,0,0.98,0,0,202.19,0,0,3.93,71.65,14.72,1.96,1.96,0,0,4.91,0,1.96,0,0,66.74,1.96,0,0,0,0.98
 72-82,0,0,0,8.83,3.93,0,955.16,0,0,2.94,757.84,0.98,0,0.98,5.89,0,3.93,1.96,0.98,0,419.17,0,0.98,1.96,80.5,22.58,5.89,4.91,0,0,1.96,0,1.96,0,0,31.41,1.96,1.96,1.96,0.98,1.96
 84-94,0,0,1.06,14.87,1.06,0,960.08,1.06,3.19,0,540.58,0,0,1.06,2.12,0,3.19,0,4.25,4.25,385.52,0,3.19,4.25,42.48,31.86,8.5,8.5,0,1.06,1.06,0,7.43,0,0,41.42,0,0,2.12,2.12,3.19
 96-106,0,0,0,27.32,4.37,1.09,632.76,1.09,0,1.09,574.84,0,0,1.09,13.11,0,1.09,1.09,6.56,1.09,236.05,0,2.19,7.65,50.27,18.58,8.74,12.02,0,0,6.56,0,5.46,0,0,24.04,1.09,2.19,3.28,0,5.46
108-118,0,0,0.77,10.72,1.53,0.77,368.43,0.77,3.06,0,544.6,0,0,0,8.43,0.77,2.3,4.6,5.36,3.06,137.11,0.77,0,3.06,38.3,29.87,7.66,12.26,0,0.77,3.06,0,4.6,0.77,0,15.32,0,0.77,3.83,0,7.66
120,0,0,0,7.84,1.96,1.96,337.08,0,1.96,0,568.34,0,0,0,3.92,0,0,0,3.92,0,143.06,1.96,0,1.96,41.16,21.56,5.88,0,0,0,7.84,0,5.88,0,0,3.92,1.96,1.96,0,3.92,0
