stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,263.56,8499.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0
  5-6,422.94,17028.13,0,6.13,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,190.02,12.26,0,0,79.69,0,147.11,0,0,0,0,0,0,0,0,0
  7-9,2.63,118.29,0,7.89,0,0,0,126.18,0,0,0,0,0,170.87,0,0,0,0,0,0,0,0,0,0,0,5152.28,10.51,0,0,793.87,0,7.89,10.51,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,6.29,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,509.81,0,0,0,25.18,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,23,17,0,0,1,0,1,1,0,1,232,0,1,0,0,0,1,0,2,2,30,0,0,7,0,0
 24-34,0,0.82,0,0,0.82,9.03,0,0,0,0,0,0,0,0,5.75,76.34,4.93,0.82,0,0,0,42.68,0,0,26.27,82.09,0,0,0,0,0,0.82,0,0,0,26.27,0,0,120.67,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0.81,5.64,0,0,6.45,106.35,0,0,0,0,0,24.98,0,0,13.7,53.98,0,3.22,0,0,0,0.81,0,0,0,29,0,0,114.41,0,0
 48-58,0,0,0,0,0.57,1.15,0,6.89,0,0,2.3,12.62,0,0.57,17.79,107.3,0,0,0,0,0,32.71,0,0,5.74,54.51,0,0,0.57,0,0.57,2.3,0,0,0,13.77,0,0,89.51,0,0
 60-70,0,0,0,0,0,1.96,0,7.85,0,0,0,12.76,0,0,6.87,112.88,0,0,0,0,0,18.65,0,0.98,4.91,41.22,0,0,0,0,0.98,1.96,0,0,0,0.98,0,3.93,59.87,0,0.98
 72-82,0,0,0,0,1.96,8.83,0,31.41,0.98,0,0.98,29.45,0.98,0,9.82,199.28,0,0,1.96,0,0,51.05,0,6.87,6.87,80.5,0,0,0,0,2.94,3.93,0,0,0,3.93,0,5.89,154.12,0.98,1.96
 84-94,0,0,0,0,3.19,4.25,0,20.18,0,0,0,19.12,0,0,3.19,267.63,0,1.06,0,0,1.06,38.23,0,4.25,5.31,53.1,0,1.06,0,0,3.19,12.74,0,0,0,1.06,1.06,2.12,150.81,0,0
 96-106,0,0,1.09,0,5.46,16.39,0,31.69,0,0,0,25.14,2.19,0,16.39,365.01,3.28,0,2.19,3.28,0,44.81,1.09,6.56,5.46,65.57,0,4.37,2.19,0,8.74,17.49,0,0,0,2.19,0,2.19,183.6,1.09,0
108-118,0,0,0,0,3.83,9.19,0.77,27.57,0,1.53,3.06,16.85,1.53,0,3.83,310.22,0.77,0,1.53,0,0,38.3,0.77,1.53,4.6,64.34,0,3.83,0.77,0,7.66,19.15,0,0,0,1.53,0,1.53,122.55,0.77,0
120,0,0,0,0,5.88,19.6,1.96,15.68,0,0,0,19.6,0,0,3.92,462.51,1.96,0,0,0,0,35.28,0,1.96,1.96,47.03,0,3.92,0,1.96,0,9.8,0,0,0,1.96,0,1.96,125.43,0,0
