stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,10.51,0,0,0,34.17,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,155.09,0,0,0,102.52,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.08,15.73,0,0,129.03,0,0,0,12.59,0,9.44,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,1,0,0,2,1,0,1,0,0
 24-34,0,0,0,0,6.57,0.82,0,7.39,0,0,0,0.82,0,0,1.64,0.82,0,0.82,0.82,0,9.85,0,0,5.75,73.88,0,0,0.82,0,0,10.67,0,0.82,1.64,0.82,12.31,0,4.93,0,1.64
 36-46,0,0,0,0,8.06,0.81,0,10.47,7.25,0,0,2.42,0,0,0,1.61,0,0,0.81,1.61,8.06,0,0,3.22,57.2,0.81,2.42,0.81,0,0,16.92,0,1.61,1.61,0.81,13.7,0,1.61,0,0
 48-58,0,0,0,0,1.15,0,0,16.07,1.72,0,0,2.3,0,0,0.57,1.72,0,0,0,1.72,11.48,0,0.57,3.44,44.76,0,0,0.57,0,0,9.18,0,1.15,0.57,0,13.2,0,1.15,0,0.57
 60-70,0,0,0,0,10.8,3.93,0,38.28,1.96,0.98,1.96,9.82,1.96,0,0,1.96,0.98,0,0.98,2.94,24.54,0.98,0,6.87,77.54,0.98,0,0.98,0,0,23.56,0,0.98,1.96,0,18.65,0.98,3.93,0.98,0
 72-82,0,0,0.98,0,8.83,3.93,0,32.39,0,3.93,1.96,9.82,0.98,0,2.94,0.98,0.98,0.98,0,0.98,26.5,0.98,0,2.94,53.99,0,1.96,0.98,0,0,8.83,0,0.98,0,0,5.89,0,2.94,0,0
 84-94,0,0,0,0,3.19,0,2.12,26.55,3.19,1.06,2.12,0,5.31,1.06,3.19,1.06,1.06,0,5.31,1.06,9.56,0,0,7.43,28.68,1.06,2.12,1.06,0,0,9.56,0,2.12,1.06,0,3.19,0,0,0,2.12
 96-106,0,0,0,0,2.19,0,0,8.74,0,0,1.09,5.46,1.09,0,0,0,1.09,0,0,1.09,7.65,0,0,1.09,13.11,0,1.09,0,0,1.09,2.19,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,4.6,0.77,3.06,5.36,0,0,0,3.83,5.36,0,0,3.06,0.77,0,1.53,1.53,6.13,0,0.77,0,11.49,0.77,0,0,0,0,4.6,0,0.77,0,0,0.77,0,0.77,0,0
120,0,0,0,0,5.88,1.96,0,27.44,0,3.92,3.92,7.84,3.92,0,7.84,7.84,0,0,0,0,15.68,0,0,5.88,48.99,0,0,5.88,0,0,15.68,0,3.92,0,0,3.92,0,3.92,0,0
