stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,7,1,0,0,1,0,0
 24-34,0,0,0.82,0.82,0,1.64,0.82,0,0,0,0,0,0.82,23.8,12.31,0,0.82,0,1.64,8.21,0,0,22.98,0,9.85,0,0,0.82,0.82,1.64,3.28,0,0,0,0,0
 36-46,0,0,2.42,2.42,0,2.42,0.81,0,0,0,0,0,0,49.15,14.5,0,0.81,0,0.81,26.59,0,0.81,39.48,0,19.34,0,0,4.03,0.81,0,4.03,0,0,0,0,0
 48-58,0,0,2.3,8.03,0,1.72,0.57,1.15,0,1.15,0,0,0,53.36,4.02,0,4.59,0,2.87,25.82,0,0,32.13,0,29.26,0.57,0,3.44,0,0,2.3,0,0,0,0,0
 60-70,0,0,7.85,1.96,0,2.94,0,0,0,0,0.98,0,0,59.87,9.82,0,2.94,0,4.91,24.54,0,0,15.7,0,34.35,0,0,1.96,0,0,0,3.93,0,0,0,0
 72-82,0,0.98,17.67,4.91,0,11.78,0,3.93,0.98,7.85,29.45,0.98,0,95.22,25.52,0,24.54,0,6.87,60.86,0.98,1.96,62.83,0,95.22,0,0,10.8,1.96,0,0.98,43.19,0,2.94,0.98,0
 84-94,0,0,32.92,6.37,0,5.31,0,3.19,1.06,2.12,53.1,0,0,122.13,25.49,2.12,23.36,1.06,4.25,58.41,1.06,1.06,44.61,0,115.76,0,0,8.5,0,0,3.19,161.43,0,0,0,0
 96-106,0,0,65.57,12.02,2.19,17.49,0,7.65,0,5.46,137.7,0,0,143.16,54.64,0,72.13,2.19,21.86,77.59,0,1.09,71.04,1.09,197.81,2.19,0,25.14,0,0,2.19,251.35,1.09,2.19,0,3.28
108-118,0,0,51.32,4.6,1.53,17.62,1.53,7.66,0.77,3.83,173.11,0,0,130.98,33.7,1.53,42.89,1.53,14.55,55.15,1.53,2.3,49.02,0,143.24,0.77,1.53,10.72,0,0,2.3,261.19,0.77,2.3,0,0
120,0,0,58.79,3.92,0,3.92,1.96,0,1.96,1.96,94.07,0,0,152.86,35.28,0,21.56,1.96,15.68,39.2,0,1.96,39.2,0,103.87,1.96,0,9.8,1.96,0,3.92,107.79,0,1.96,0,0
