stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,300.35,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,7.89,0,0,0,21.03,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,144.58,2.63,0,0,70.98,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,3.15,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.03,15.73,0,0,56.65,0,0,6.29,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,3,10,3,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,0,5,64,1,2,1,3,0,0,0,9,0,3,8,31,0,0,0,0
 24-34,0,0,0,0.82,0.82,2.46,0,11.49,0,0,0.82,0.82,0,0,0,0,0,0,0.82,0,1.64,8.21,0,0,9.03,125.59,0.82,0.82,1.64,0,0,3.28,0,0,0,0,0.82,23.8,0,3.28,0,0
 36-46,0,0,0,0,1.61,0,0,16.11,0,0,0,4.03,0,0,0.81,0,0,0,0,0,0,16.11,0,0,4.83,124.88,0.81,1.61,0.81,0,0,1.61,0,0,0,0,0,20.14,0,0.81,0,0
 48-58,0,0,0,0,2.87,0,0,29.26,0,0,0.57,9.18,0,0.57,0,0,0,0,0.57,0,0,24.67,0,0,2.87,97.55,0,2.3,0.57,0,0,2.87,0,0,0,0,0,21.23,0,0.57,0,0
 60-70,0,0,0,0,1.96,0,0,46.13,0,0,0,7.85,0,0,0,0,0,0,0,0,0,23.56,0.98,1.96,0.98,98.15,0,0.98,0.98,0,0,0.98,0,0,0.98,0,0,12.76,0,0,0,0.98
 72-82,0,0,0,0,0.98,2.94,0,49.08,0.98,0,0.98,15.71,0,0,0,0,0,0,0.98,0,0,42.21,0,0,6.87,91.29,0,0,2.94,0,0,1.96,0,0,0,0,0,6.87,0,1.96,0,0.98
 84-94,0,0,1.06,0,5.31,0,0,23.36,0,2.12,1.06,11.68,2.12,0,1.06,1.06,0,0,0,1.06,1.06,25.49,1.06,1.06,1.06,44.61,0,1.06,0,0,0,8.5,0,0,0,0,0,1.06,0,2.12,2.12,1.06
 96-106,0,0,0,0,4.37,0,0,19.67,0,0,1.09,6.56,1.09,0,0,1.09,0,0,2.19,0,0,29.51,0,0,7.65,42.62,0,1.09,6.56,0,1.09,3.28,0,0,1.09,0,0,1.09,2.19,1.09,0,2.19
108-118,0,0,0,0,3.83,0.77,0,17.62,0,0,0.77,6.89,2.3,0,0,0,0.77,0.77,0.77,0.77,0,22.98,0,0,2.3,42.13,0,0.77,0,0,0,3.06,0,0,0,0.77,0,0.77,2.3,2.3,1.53,1.53
120,0,0,0,0,5.88,1.96,1.96,3.92,0,0,0,7.84,1.96,0,0,0,0,0,0,0,0,13.72,0,0,5.88,52.91,0,1.96,3.92,0,0,5.88,0,0,0,0,0,0,0,0,1.96,0
