stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,mesenchyme,neural,notochord,paraxial_mesoderm,somites,spinal_cord
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,0,0,0,7.89,2.63,7.89,0,0
 10-12,0,0,3.15,0,0,0,0,0,3.15,0,3.15,0,0
 14-21,0,0,0,3,1,0,1,0,5,0,0,1,2
 24-34,0,0,0,0.82,0.82,0.82,0,0,12.31,0,0,0,1.64
 36-46,0,0,0,0,0,0.81,0,0,12.09,0,0,0,0.81
 48-58,0,0,0,0,1.72,1.15,0,1.15,16.64,0,0,0,0.57
 60-70,0,0,0,0,2.94,1.96,0,0,12.76,0,0,0,2.94
 72-82,0,0,0,0.98,4.91,1.96,0,0,13.74,0,0,0,0
 84-94,0,0,0,0,4.25,3.19,0,0,5.31,0,0,0,0
 96-106,0,0,0,0,2.19,0,0,0,6.56,0,0,0,0
108-118,0,0,0,0,4.6,0,0,0.77,4.6,0,0,0,0
120,0,0,0,0,0,0,0,3.92,0,0,0,0,0
