stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,487.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,7.89,0,7.89,0,0,0,7.89,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,152.47,15.77,0,0,86.75,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,6.29,0,18.88,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,198.26,12.59,0,0,116.44,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,17,4,0,5,0,0,0,2,0,0,0,0,1,0,0,0,1,8,0,0,4,38,0,0,2,2,0,1,0,6,0,8,8,0,0,1,0,0
 24-34,0,0,0,0.82,4.93,0,0,6.57,0,0.82,0,2.46,0.82,0,1.64,0,0,0,0,0,0.82,9.85,0,0,8.21,95.22,0,1.64,1.64,0,0,0.82,0,0,0,0.82,28.73,0,0,3.28,0,0.82
 36-46,0,0,0,0,0.81,0,0,22.56,0,0.81,0,4.83,0,0,0,0,0,0.81,0,0,0.81,19.34,0,1.61,4.83,156.3,0,1.61,0.81,0,0,2.42,0,0,0,0,38.67,0,0,3.22,0,0
 48-58,0,0,0,0,1.72,0,0,29.26,0.57,0.57,1.15,9.18,0.57,0,0,0.57,0,0.57,0.57,0,1.15,16.64,0,1.15,2.87,104.43,0,0,0,0,0.57,1.72,0,0,0,0,22.95,0,0.57,2.3,0,0
 60-70,0,0,0,0,2.94,1.96,0,52.02,0,1.96,0.98,6.87,0,0,0,0,0,0,0,0,0,18.65,0,0,0.98,148.21,0,0,0.98,0,0,1.96,0,0,1.96,0,19.63,0,0,0.98,0,0
 72-82,0,0,0,0,2.94,1.96,0,33.38,0,0,2.94,7.85,0,0,0,0,0.98,0,0,0,0,28.47,0,0,2.94,71.66,0,0,0.98,0,0,1.96,0,0,0,0,6.87,0,0.98,0.98,0.98,0
 84-94,0,0,0,0,1.06,2.12,0,29.74,0,1.06,2.12,6.37,1.06,0,1.06,4.25,0,1.06,1.06,0,0,21.24,1.06,0,3.19,39.3,0,0,0,0,0,7.43,0,0,0,0,5.31,0,1.06,3.19,2.12,0
 96-106,0,0,0,0,5.46,2.19,0,16.39,1.09,0,1.09,8.74,2.19,0,1.09,0,0,0,0,1.09,0,10.93,1.09,0,2.19,46.99,0,2.19,1.09,0,0,4.37,0,0,0,0,2.19,1.09,0,2.19,1.09,0
108-118,0,0,0.77,0,6.89,0.77,1.53,8.43,0,3.06,0,6.89,2.3,0,1.53,2.3,0,0,0,0.77,0.77,11.49,0,0.77,4.6,34.47,0,1.53,0.77,0,1.53,1.53,0,0,0,0,6.13,0.77,0,3.06,0.77,0
120,0,0,0,0,3.92,0,0,19.6,0,0,0,5.88,5.88,0,1.96,3.92,0,1.96,0,0,0,21.56,0,0,5.88,37.24,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0
