stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,232.88,0,0,18.88,0,0,0,0,0,0,0
 14-21,0,3,0,2,0,0,0,26,0,0,0,0,0,2,0,0,531,1,0,1,0,1,342,0,1,0,0
 24-34,0,0.82,0.82,3.28,0,0,0,39.4,0.82,0.82,0,0,0,1.64,0,0.82,1380.68,0.82,0,0,0,0,545.05,0,1.64,0,0
 36-46,0,0.81,0,25.78,0,0,0.81,82.18,0,0,0,0,0.81,6.45,0,0,1914.27,4.83,0,0,0,0,825.01,0,0,0,0
 48-58,0,0,0,70,0.57,0.57,0,78.61,0,0.57,0,0,0,1.72,0.57,0,566.92,0,0,0.57,0,0,350.59,0,1.15,0,1.15
 60-70,0,0,0,102.08,0,0.98,0,45.15,0,0,0,0.98,0.98,3.93,0,0.98,299.36,0,0,0,0.98,0,119.75,0,0,0,0
 72-82,0.98,4.91,0,101.11,0,0,0,23.56,0,0,0,0,0.98,4.91,0,0.98,167.86,0.98,0.98,0,0,0,29.45,0,0.98,0,0
 84-94,0,1.06,1.06,76.47,0,0,0,24.43,0,0,0,0,0,5.31,0,2.12,135.94,0,0,0,1.06,0,32.92,0,1.06,1.06,1.06
 96-106,0,1.09,0,54.64,0,0,1.09,18.58,0,0,0,1.09,1.09,8.74,0,1.09,92.89,1.09,0,0,0,0,7.65,0,1.09,0,0
108-118,0,1.53,0,58.21,0,0.77,0,13.79,0,0,0.77,0,1.53,6.89,0,3.06,133.28,0,0.77,0,0.77,0,3.06,0.77,0.77,1.53,0.77
120,0,0,0,21.56,0,1.96,0,7.84,0,0,0,0,0,3.92,0,0,82.31,0,0,0,0,0,3.92,0,0,0,0
