stage,blastomeres,endoderm,epidermis,eye,hatching_gland,melanocytes,mesenchyme,neural,notochord,somites,spinal_cord,vasculature
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,10.51,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,1,0,0,5,0,1,1,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0.82,0
 36-46,0,0,0,0,0,0.81,0,3.22,0,0,0,0
 48-58,0,0,0,0.57,0,0,1.15,0,0,0,0.57,0.57
 60-70,0,0,0,0.98,0,0,0.98,0.98,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0,0,0.77,0
120,0,0,1.96,0,0,0,0,0,0,0,0,0
