stage,axial,blastomeres,endoderm,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord
  3-4,26.36,579.83,0,0,0,0,0,0,39.53,0,0,0
  5-6,30.65,527.15,0,0,0,36.78,6.13,0,24.52,0,0,0
  7-9,5.26,7.89,7.89,21.03,5.26,212.93,0,76.23,2.63,0,0,0
 10-12,0,6.29,3.15,18.88,6.29,154.2,6.29,31.47,3.15,6.29,3.15,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0.98
