stage,endocrine_pancreas,epidermis,erythrocytes,eye,immune,mesenchyme,neural,periderm,somites,spinal_cord,taste,vasculature
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,4,0,0,2,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0.57,0.57,0,0,0,0
 60-70,0,0,0,0,2.94,0,0,0.98,0,0,0.98,0
 72-82,0,0,0,0.98,6.87,0.98,4.91,0,0,0,0,0
 84-94,0,0,0,0,4.25,1.06,3.19,1.06,0,0,0,0
 96-106,1.09,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,2.3,0.77,1.53,0.77,0,0,0,0.77
120,0,0,0,0,3.92,0,7.84,0,0,0,0,0
