stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,1,0,0,0,0,0,2,2,1,25,0,0,1,0,0
 24-34,0,0,0,0,2.46,0,0.82,0,0,0.82,0,0.82,0.82,0,0,0,0,0,2.46,0,0,143.65,1.64,0.82,0,0,0,0,0,9.03,0,74.7,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,3.22,0.81,0,44.31,0,0,0,0,0,0,0,0,2.42,0,0.81,373.83,0,0,0,0,0,0.81,0,2.42,0,115.21,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,17.21,0.57,0,123.94,0,0,0,0.57,0,0,0,0,1.72,0.57,3.44,591.59,0,2.3,0,0,0.57,0.57,0,1.72,0,124.52,0,0.57,0,0.57,0.57
 60-70,0,0,0,0,0.98,0.98,42.21,0.98,0,176.67,0,0,0,0.98,0,0,1.96,0.98,7.85,0,0,1081.64,0,2.94,1.96,0,0,0.98,0,5.89,0,176.67,0,0.98,0,0,0
 72-82,0,0,0,0,5.89,0.98,65.77,0.98,1.96,174.74,0,0,0,0,0,0,0,0.98,18.65,0,1.96,917.85,0,1.96,3.93,0,0,0.98,0,0.98,0,83.44,0,0,0.98,0,0
 84-94,0,0,0,0,3.19,1.06,49.92,0,0,104.08,1.06,0,0,2.12,1.06,0,0,1.06,11.68,1.06,2.12,428,2.12,0,1.06,0,0,0,0,1.06,0,48.85,0,0,1.06,1.06,0
 96-106,0,0,0,1.09,10.93,2.19,29.51,0,0,97.26,0,0,0,1.09,0,1.09,1.09,0,14.21,0,0,406.54,0,4.37,1.09,0,1.09,0,0,1.09,0,28.41,0,1.09,0,2.19,2.19
108-118,0,0,1.53,0,8.43,1.53,29.11,0.77,0,86.55,0,0,0,0,0,0,2.3,0.77,8.43,0.77,0.77,403.66,0.77,1.53,2.3,0,0,0,0,0.77,0,19.92,0.77,0.77,0.77,0,0
120,0,0,0,1.96,9.8,1.96,23.52,3.92,0,90.15,1.96,0,0,3.92,0,1.96,0,0,15.68,0,0,552.66,0,0,0,0,0,1.96,0,1.96,0,21.56,0,0,0,0,0
