stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,1146.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0
  5-6,12.26,324.87,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,26.29,0,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,37.76,0,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,0,6,1,6,0,0,0,0,0,7,0,0,0,0,0,16,0,8,48,2,0,2,0,0,59,125,244,23,0,0,0,0
 24-34,0,0,0,0,2.46,0.82,9.03,11.49,0,0.82,0,0,2.46,0.82,0.82,0,0.82,0.82,22.98,0,13.13,53.36,1.64,0.82,0,0,1.64,0,40.22,122.31,16.42,0,2.46,0,0
 36-46,0,0,0,0,1.61,0,6.45,22.56,0,0,3.22,0,7.25,1.61,0,0,0,0,8.86,0.81,4.83,24.17,2.42,0,0,0,0,0,20.95,8.06,3.22,0,0,0.81,0
 48-58,0,0,0,0,0.57,0,2.87,16.64,0.57,0.57,0.57,0,2.3,0,0,0,0.57,0,9.75,0,10.9,17.79,0,0,0,0,1.15,0,12.62,0,1.72,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,1.96,29.45,0,0,0.98,0,2.94,0,0,0,0,0,11.78,0,9.82,10.8,0.98,0,0,0,0,0,2.94,0,2.94,0.98,0,0,0.98
 72-82,0,0,0,0,2.94,0,4.91,37.3,0,0,4.91,0,1.96,0,0,0,0,0,9.82,2.94,3.93,14.72,0,0,0,0.98,0,0,8.83,0,0.98,1.96,0,3.93,0
 84-94,0,0,1.06,0,3.19,0,6.37,46.73,0,0,1.06,0,1.06,0,0,0,0,0,15.93,0,4.25,10.62,0,1.06,0,0,3.19,0,9.56,0,1.06,4.25,0,1.06,0
 96-106,0,0,0,0,0,0,3.28,51.36,0,0,8.74,0,3.28,2.19,0,1.09,1.09,0,14.21,3.28,10.93,22.95,0,0,0,0,7.65,0,8.74,0,0,5.46,3.28,1.09,0
108-118,0,0,0,0,1.53,0,3.06,66.64,0.77,0,3.06,0,4.6,1.53,0.77,2.3,2.3,0,12.26,0,6.89,10.72,0,0.77,0,2.3,1.53,0,9.96,0,0,7.66,2.3,0,0.77
120,0,0,0,0,1.96,0,0,35.28,3.92,0,0,0,1.96,1.96,0,0,0,0,15.68,1.96,9.8,1.96,0,0,0,0,5.88,0,5.88,0,3.92,0,1.96,1.96,0
