stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,7,0,0,1,0,0,1,0,1,2,0,0,0
 24-34,0,0,1.64,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0.82,0.82,0,0,0,28.73,2.46,0,0,0,1.64,0,0.82,0,2.46,0.82,0,0.82
 36-46,0,0,0.81,0,2.42,0,0,0,0,0,0.81,0,0,0,0,0.81,3.22,0,0,0,21.75,0.81,0.81,0,0,2.42,0,0,0,4.03,3.22,0.81,0.81
 48-58,0,0,0.57,0,7.46,0,1.15,0.57,0,0,0,0,0,0,0.57,0,4.59,0,0,0.57,11.48,0,0,0,0,2.3,0,0,0,4.02,0,0,0.57
 60-70,0,0,0,0,11.78,0,0.98,2.94,0,0,0,0,0,0,0,0,1.96,0,0,0.98,28.46,0,0,0,0,0,0,0,0,4.91,1.96,0,0.98
 72-82,0,0,0.98,0,12.76,0,0.98,2.94,0,0,0.98,0,0.98,0,0,0,1.96,0,0,0.98,36.32,0,0.98,0.98,0,0,0,0,0,0.98,0,0.98,0.98
 84-94,0,0,3.19,1.06,18.05,0,0,1.06,0,0,0,1.06,1.06,0,1.06,0,3.19,0,1.06,1.06,14.87,0,0,0,0,1.06,0,0,0,1.06,0,0,0
 96-106,0,0,1.09,0,7.65,0,0,1.09,0,0,0,0,1.09,2.19,0,0,4.37,0,0,1.09,14.21,0,0,0,0,1.09,0,0,0,1.09,1.09,0,0
108-118,0,0,0,0,9.19,0.77,0,2.3,0,0,0.77,0,1.53,0,0,0,2.3,0.77,0,0.77,14.55,0,0,0,0,3.06,0,0,0,1.53,1.53,0,0
120,0,0,0,0,1.96,0,0,0,3.92,0,0,0,0,0,0,0,5.88,0,1.96,0,7.84,0,1.96,0,0,0,0,1.96,0,0,3.92,0,0
