stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8,460,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,13,1,0,1,12,0,0,1,8,0,0,1,0,0
 24-34,0,0,0,0.82,5.75,938.24,0,13.13,0,0.82,0,0.82,0.82,0,2.46,0.82,0.82,0,0,1.64,0.82,9.85,0.82,0,1.64,142.83,1.64,0.82,0.82,10.67,1.64,0,5.75,29.55,0,0,4.93,0,0.82
 36-46,0,0,0,0,0.81,613.92,0,20.14,0,0,0,1.61,0.81,0,0.81,0,1.61,0,0,0,0,6.45,0.81,0,3.22,91.04,0,0,1.61,4.83,0,0,0,16.11,0,0,3.22,0,0
 48-58,0,0,0,0,2.3,945.06,0,51.64,0.57,0,1.72,10.9,0,0,1.15,0,2.3,0,0.57,0,0,22.38,1.15,0,4.02,122.79,1.15,0.57,1.72,2.87,1.15,0,0,22.38,0,0.57,3.44,0,2.3
 60-70,0,0,0,0,2.94,1038.45,0,52.02,0.98,0,0.98,10.8,0,0,0.98,0.98,0,0.98,2.94,0,0,17.67,0.98,0,0.98,94.23,0.98,0,0.98,5.89,0,0,0,16.69,0,0.98,2.94,0.98,3.93
 72-82,0,0,0,0,0,1018.96,0,36.32,2.94,0.98,1.96,10.8,0.98,0,0,0.98,1.96,0.98,0,0,0,19.63,0,0,3.93,68.72,0,1.96,0,4.91,0.98,0,0,6.87,0.98,0,5.89,0,0.98
 84-94,0,0,0,0,6.37,816.71,0,26.55,2.12,1.06,0,4.25,3.19,0,0,3.19,4.25,4.25,2.12,1.06,0,7.43,2.12,1.06,0,25.49,0,0,1.06,7.43,4.25,2.12,0,3.19,3.19,0,1.06,0,1.06
 96-106,0,0,1.09,0,8.74,879.74,0,19.67,1.09,0,0,3.28,5.46,0,1.09,3.28,3.28,1.09,1.09,0,1.09,10.93,6.56,1.09,1.09,40.44,1.09,2.19,3.28,7.65,1.09,0,0,1.09,2.19,0,4.37,0,1.09
108-118,0,0,0,0,0.77,585.2,0,7.66,1.53,0,0.77,3.06,3.83,0,0,3.06,0.77,0.77,0.77,0.77,0,8.43,1.53,0,0,30.64,0.77,0,0.77,3.06,0,0,0,1.53,0.77,0.77,5.36,0.77,0.77
120,0,0,0,0,9.8,672.21,3.92,5.88,0,0,1.96,1.96,1.96,0,0,0,1.96,3.92,0,3.92,0,13.72,0,0,1.96,31.36,0,0,0,0,0,0,0,1.96,0,0,0,0,0
