stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,immune,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,6,0,1,2,2,0,0,0,1,1,6,0,0,0
 24-34,0,2.46,0,0,0,0,0,0,0,0,0,0,31.19,0,8.21,1.64,5.75,0,4.1,0,0,0,5.75,0,0,0
 36-46,0,0.81,0,0,0.81,0,0,0,0,0,0,0,34.64,0,0.81,0.81,8.06,0,8.06,0,0,0,5.64,0,0,0
 48-58,0,1.15,0,0,1.72,0.57,0,0,0,0,1.15,0,76.89,0,1.15,1.72,17.79,0,9.18,0,0,0,0.57,0,0,0
 60-70,0,0.98,0,0,1.96,0,0,0,0,0,0,0,170.78,0,0,2.94,11.78,0,14.72,0,0,0,1.96,0,0,0
 72-82,0,1.96,0,0,2.94,0,0.98,0,0.98,0,0,0,250.32,0,2.94,1.96,7.85,0,25.52,0,0,0,0,0.98,0,0
 84-94,0,1.06,0,0,7.43,0,0,0,0,0,0,0,183.73,1.06,0,1.06,9.56,0,28.68,1.06,0,0,0,0,0,1.06
 96-106,0,2.19,1.09,0,2.19,0,1.09,0,0,0,0,1.09,167.21,1.09,0,4.37,4.37,0,33.88,0,0,0,2.19,0,0,1.09
108-118,0,1.53,0,0.77,2.3,0.77,0,1.53,0.77,0.77,0,1.53,98.04,0,0.77,4.6,2.3,0.77,28.34,0,0,0,0,0,0.77,0.77
120,0,3.92,0,0,5.88,0,0,0,0,0,0,0,82.31,0,1.96,3.92,5.88,0,35.28,0,0,0,0,0,0,0
