stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,mesenchyme,muscle,neural,notochord,otic,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,3,0,0,0,2,1,0,0,0,0
 24-34,0,0,1.64,0,0.82,0,1.64,0,3.28,0.82,0.82,1.64,0,2.46,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,2.42,0.81,2.42,0.81,0,1.61,0,1.61,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,1.72,1.72,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,3.93,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,5.89,6.87,0.98,1.96,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,4.25,4.25,0,3.19,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,5.46,2.19,0,1.09,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,4.6,3.83,0,0.77,1.53,0,0.77,0,0,0.77,0,0.77,0.77
120,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,1.96,0,0,0
