stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,14,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,5,10,0,1,0,0,0,0,3,3,2,0,0,0
 24-34,10.67,0,0.82,0,1.64,0,8.21,0,0,0,0,0.82,0,0,0,0,0,38.58,0,4.1,42.68,0,4.1,0,0,0,0.82,0,0,4.93,0,0.82,0
 36-46,9.67,0,0,0,1.61,0,1.61,0,1.61,0,0,0,0,0,0,0,0,37.06,0,6.45,53.98,0,2.42,0,0,0,0,0,0,2.42,1.61,0,0
 48-58,7.46,0,0,0,6.31,0,0,0,1.15,0,0,0,0,0,0,0,0,36.15,1.15,2.3,39.02,0.57,0.57,0,0,0,0,0,0,0.57,0.57,0.57,0
 60-70,1.96,0,1.96,0,1.96,0.98,0.98,0.98,1.96,0,0,0,0,0,0,0,0,15.7,3.93,0.98,54.97,0,3.93,0,0,12.76,0.98,0,0,1.96,3.93,0.98,0.98
 72-82,14.72,0,0.98,1.96,9.82,0,0,0,3.93,0.98,0,0,0,0,0.98,0,0,24.54,3.93,2.94,74.61,0,4.91,0,0,15.71,0,0,0,1.96,3.93,5.89,1.96
 84-94,7.43,0,5.31,0,18.05,0,1.06,0,1.06,0,0,0,0,0,4.25,0,0,12.74,6.37,2.12,49.92,0,5.31,0,0,16.99,1.06,0,0,0,0,2.12,2.12
 96-106,8.74,0,12.02,0,14.21,0,1.09,2.19,3.28,0,0,0,0,1.09,10.93,0,0,34.97,4.37,4.37,48.09,0,9.84,0,0,31.69,0,0,0,2.19,7.65,5.46,3.28
108-118,9.96,0.77,7.66,0.77,3.83,0,1.53,1.53,5.36,0,0,0,0.77,0,9.19,0,0.77,16.09,6.13,4.6,69.7,0,5.36,0,0,37.53,1.53,0,0,0.77,4.6,3.83,0.77
120,3.92,0,7.84,0,3.92,0,0,1.96,3.92,0,0,0,0,0,3.92,1.96,1.96,25.48,3.92,7.84,56.83,0,3.92,1.96,1.96,25.48,1.96,0,0,0,3.92,1.96,0
