stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0,1.64,0,0,1.64,92.76,0,1.64,0,0,0,0.82,0,0,0.82,14.78,0,0,0,0,0
 36-46,0,0,0,0.81,0,3.22,0,0,0,3.22,0,0,0,1.61,0,0,2.42,197.39,0,0.81,0,0,0,0,0,0,0,24.17,0,0,0,0,0
 48-58,0,0,0,0.57,0,21.23,0.57,0,0,16.07,0,0,0,6.89,0,0,0.57,253.05,0,0,0,0,0,0.57,0,0.57,0,19.51,0,0,0.57,0,0
 60-70,0,0,0,0,0,95.21,0,0,0,45.15,0.98,0,0,12.76,0,0,0,370.03,0,0,1.96,0,0,1.96,0,0.98,0,23.56,0,0.98,0,0,0
 72-82,0,0,0,5.89,0,147.25,0,0.98,0.98,64.79,2.94,0,0,20.61,0,0,2.94,375.98,0.98,0,4.91,0.98,0.98,2.94,0,0,0,21.6,0,0,2.94,2.94,0.98
 84-94,0,0,1.06,6.37,0,107.27,0,2.12,0,26.55,2.12,1.06,0,18.05,0,1.06,3.19,231.52,0,0,9.56,0,0,2.12,1.06,0,0,6.37,0,1.06,0,2.12,0
 96-106,0,1.09,0,3.28,1.09,100.54,0,2.19,0,40.44,4.37,1.09,2.19,15.3,1.09,1.09,1.09,183.6,0,2.19,13.11,0,1.09,0,0,0,0,6.56,1.09,0,0,0,0
108-118,0.77,0,0.77,0.77,1.53,94.98,0.77,0,0.77,26.81,0.77,1.53,3.83,8.43,0,2.3,2.3,215.24,0,0.77,9.96,0,0.77,0.77,0,0,0,6.13,0,0.77,0,2.3,0
120,0,0,0,3.92,1.96,80.35,1.96,3.92,0,33.32,5.88,3.92,1.96,13.72,1.96,0,3.92,268.49,1.96,0,11.76,0,0,1.96,0,0,0,5.88,0,0,0,1.96,0
