stage,eye,glial,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,neural,otic,pronephros,xanthophores
 14-21,1,0,0,0,1,0,0,0,0,1,0,4,0
 24-34,0.82,0,0,6.57,0,0,6.57,0.82,0.82,1.64,0,11.49,4.93
 36-46,0,0,1.61,3.22,0,0,2.42,0,0,0.81,0,7.25,1.61
 48-58,0.57,0.57,0,0,0,0.57,1.72,0,0,1.15,0,2.3,3.44
 60-70,0,0,0,0,0,0,0,0.98,0,1.96,0,0,1.96
 72-82,0.98,0,0.98,0,1.96,0.98,0,0,0,14.72,0,0.98,0.98
 84-94,1.06,0,2.12,1.06,0,2.12,0,0,0,4.25,2.12,0,0
 96-106,2.19,1.09,5.46,1.09,0,2.19,0,0,0,3.28,0,1.09,0
108-118,2.3,0,0,1.53,0,0,0,0,0,2.3,0,0.77,3.06
120,0,0,3.92,1.96,0,0,0,0,0,1.96,0,0,0
