stage,axial,blastomeres,epidermis,eye,glial,hatching_gland,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,spinal_cord
  3-4,39.53,672.07,0,0,0,0,0,0,0,0,26.36,0,0,0
  5-6,24.52,171.63,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,2.63,0,5.26,0,13.14,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,31.47,3.15,3.15,0,3.15,0,0
 14-21,0,0,0,0,0,0,1,1,0,0,0,0,1,2
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,1.64
 36-46,0,0,0,1.61,0.81,0,0,4.03,0,0,0.81,0,0,3.22
 48-58,0,0,0,1.15,0,0,0,2.87,0,0,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,0,1.96,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
