stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,15.73,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,1,15,2,4,0,0,0,1,0,0,0,0,0,0,0,3,0,8,26,11,0,0,1,0,1,2,13,1,14,20,0,0,0
 24-34,0,0,0.82,0,3.28,0,0,0.82,0.82,0,0,1.64,0,0,0.82,0,2.46,0,9.03,21.34,2.46,0,0,0,0,0.82,0.82,0,0,3.28,1.64,0,0,0.82
 36-46,0,0,0,0,0.81,0,0,1.61,1.61,0,0.81,0,0,0,0,0,4.03,0,1.61,19.34,0.81,0,0,0,0,1.61,0,0,0,0,7.25,0,0,0
 48-58,0,0,0.57,0,5.74,0.57,0,0.57,2.87,0,1.15,0,0,0,0,0,12.05,0,3.44,11.48,1.15,0,0,0,0,2.3,0,0,0,0,4.59,0,0,0
 60-70,0,0,0,0,4.91,0,0,0,7.85,0,4.91,0,0,0,0,0,15.7,0,4.91,15.7,0,0.98,0,0,0,0,0,0,0,0,6.87,0,0,0
 72-82,0,0,0,0,8.83,0,0,1.96,6.87,1.96,6.87,0,0,0,0,0,46.14,0.98,3.93,17.67,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0
 84-94,0,0,2.12,0,8.5,0,0,2.12,9.56,0,5.31,0,0,0,1.06,0,18.05,1.06,3.19,14.87,0,0,0,0,0,4.25,0,0,0,0,4.25,0,1.06,1.06
 96-106,0,0,3.28,0,4.37,0,1.09,1.09,6.56,1.09,8.74,1.09,0,0,1.09,0,24.04,1.09,1.09,5.46,0,0,0,0,1.09,20.76,0,0,0,0,2.19,1.09,0,1.09
108-118,0,0,0.77,0,3.06,0,0.77,0,3.06,0,5.36,0,0.77,0.77,0,0.77,15.32,0,2.3,11.49,0,0.77,0,0,0,11.49,0,0,0,0,3.06,0.77,0,0.77
120,0,0,0,0,3.92,0,1.96,0,0,0,11.76,1.96,0,0,0,0,11.76,1.96,1.96,11.76,1.96,0,1.96,0,0,31.36,0,0,0,0,0,0,0,0
