stage,axial,endoderm,epidermis,erythrocytes,eye,glial,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
 14-21,0,3,3,1,39,1,0,2,0,0,54,16,0,0,138,1,0,1,0,1,0,1,2,92,0,19
 24-34,0,0,1.64,0,22.16,2.46,0.82,8.21,0,0,81.26,19.7,0,3.28,92.76,0,0,0,0.82,0.82,0.82,0.82,1.64,16.42,0.82,59.1
 36-46,0.81,0,0,0,1.61,0.81,0,10.47,0,0,24.98,3.22,0,0,23.36,0,0,0,0,0,0,0,0,4.83,0,12.09
 48-58,0,0,0,0,2.3,0.57,0,8.61,0,0,10.9,0.57,0,0.57,10.33,0,0,0,0,0,0,0,0,1.15,0,5.74
 60-70,0,0,0,0,2.94,1.96,0,9.82,0.98,0,0.98,2.94,0.98,0,13.74,0,0,0,0,0,0,0,0,5.89,0,0
 72-82,0,0,0,0,1.96,0,0,2.94,0,0,4.91,3.93,0,0.98,14.72,0,0.98,0,0,0,0,0,0,0.98,0,0.98
 84-94,0,0,1.06,0,1.06,2.12,0,3.19,0,0,5.31,2.12,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,3.28,1.09,0,7.65,0,1.09,2.19,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,3.06,0,0,3.06,1.53,0,0,0.77,0,0,0,0.77,0,1.53,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,1.96
