stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,periderm,somites,spinal_cord,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0
 24-34,0,0.82,0.82,0,0,0,0,0,0.82,0,0.82,8.21,0,0,0,1.64,0
 36-46,0,0,0.81,0,0,0,0,0,2.42,0,0,10.47,0,0,0,6.45,0
 48-58,0,0,6.89,0,0.57,0.57,0,0,1.15,0,0,17.21,0,0,0,1.72,0.57
 60-70,0,0,9.82,0,0,0,0,0,4.91,0,0,30.43,0,0,0,4.91,0
 72-82,0,1.96,22.58,0,2.94,0,0,0,13.74,0,0.98,72.64,0,0,0,0.98,0.98
 84-94,0,0,9.56,0,0,0,3.19,0,4.25,1.06,0,47.79,0,0,0,1.06,0
 96-106,0,0,10.93,1.09,1.09,0,2.19,1.09,7.65,0,0,37.16,0,1.09,0,0,0
108-118,0,0.77,2.3,0,2.3,0,3.06,0,6.89,0,0,45.96,0,0,0,0.77,0
120,0,3.92,1.96,0,3.92,0,1.96,0,1.96,0,0,50.95,0,0,0,1.96,0
