stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vasculature
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,7.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,3,1
 24-34,0,0,0,0,7.39,0,0,0,0.82,0,43.51,0,0,0,0,0,0,8.21,0,0,0,0,0,2.46,9.03
 36-46,0,0,0,2.42,0.81,0.81,0,0,0,0,70.9,0,0,1.61,0,0,0,7.25,0,0,0,0,0,0.81,3.22
 48-58,0,0,0,0.57,0.57,6.31,0,0,1.15,0,86.64,0,0,0,0,0.57,0,9.75,0.57,0,0,0,0,1.15,2.3
 60-70,0,0,0,0,1.96,3.93,0.98,0,0,0.98,118.76,0,0,1.96,0,0,0,7.85,0,0,0.98,0,0.98,0.98,4.91
 72-82,0,0,0,0.98,2.94,0,0.98,0,2.94,10.8,187.5,0.98,0,2.94,0,0,0.98,15.71,0,0,0.98,0,0,1.96,0.98
 84-94,0,0,0,2.12,1.06,1.06,0,0,0,12.74,220.9,0,0,2.12,1.06,0,1.06,11.68,0,0,0,0,0,1.06,3.19
 96-106,0,0,1.09,7.65,7.65,1.09,0,0,1.09,21.86,280.86,0,2.19,1.09,0,0,1.09,2.19,0,0,1.09,1.09,0,0,7.65
108-118,0,0,0,5.36,0.77,0,0,0.77,2.3,13.02,228.26,0,0,3.06,0.77,0,0,14.55,0,0,0.77,0,0,0,4.6
120,0,0,0,5.88,9.8,0,0,0,1.96,25.48,323.36,1.96,0,3.92,0,0,3.92,17.64,0,0,0,0,0,1.96,7.84
