stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,1,3,0,0
 24-34,0,0.82,0,1.64,0,0,0,0,0,3.28,1.64,0,0,0,1.64,0,2.46,0,0,0,0,3.28,0,0
 36-46,0,0,0,0,0.81,0,0,0,0.81,1.61,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0
 48-58,0,0,0,3.44,0.57,0,0,0,0,0,0,0.57,0.57,1.72,0,0,0,0.57,0.57,0,0,0,0,0
 60-70,0,0.98,0,9.82,0,0,0,0,0,3.93,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,4.91,0,42.21,0,0,0,1.96,0,4.91,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0.98,2.94
 84-94,0,21.24,0,37.17,0,0,1.06,1.06,2.12,12.74,0,0,0,1.06,0,0,1.06,1.06,0,0,3.19,0,0,1.06
 96-106,0,45.9,1.09,34.97,0,0,0,4.37,2.19,39.34,0,0,0,3.28,0,1.09,5.46,0,0,0,3.28,0,0,1.09
108-118,0,55.15,0.77,16.09,0,0.77,0,3.83,3.06,32.17,0,0,0,1.53,0,0,6.13,0,0,0,1.53,0,0,2.3
120,0,21.56,1.96,25.48,0,0,0,1.96,0,13.72,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0
