stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,6,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,35.3,0,0.82,0,0,0,0.82,11.49,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0.81,0.81,108.77,0,3.22,0,0,0,0,24.98,0,0,0,0
 48-58,0,0.57,0,0,8.61,0,0,2.3,0,0,0,0,2.87,0,150.91,0,0,0,0,0,0,26.4,0,0,0,0
 60-70,0,0,0.98,0,32.39,0.98,0,3.93,0.98,0,0,0,1.96,0,281.7,0,0,0.98,0,0,0,41.22,0,0,0,0
 72-82,0,0,0,0.98,43.19,0.98,0,4.91,0,0.98,0,0,3.93,0,271.92,0,2.94,1.96,0,0,0.98,13.74,0,0,0.98,0
 84-94,0,0,1.06,1.06,28.68,1.06,1.06,5.31,0,0,1.06,1.06,6.37,0,132.75,0,0,2.12,0,0,0,7.43,2.12,0,0,0
 96-106,0,0,1.09,0,18.58,0,0,2.19,0,1.09,0,0,3.28,0,124.58,0,1.09,3.28,1.09,1.09,1.09,4.37,1.09,0,0,0
108-118,0,0,1.53,0,16.85,0,0,4.6,0,0,0,0,3.06,0.77,137.87,0,0.77,3.83,0,1.53,0,1.53,0,0,0.77,0.77
120,0,0,1.96,0,9.8,0,0,3.92,0,0,0,0,1.96,1.96,154.82,0,0,0,0,0,3.92,5.88,0,0,0,0
