stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,slow_muscle,spinal_cord,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
 24-34,6.57,0,0,1.64,0,0,0.82,0,0,0.82,0,0,0,0.82,0,0.82,9.03,0.82,0,1.64
 36-46,0.81,0,0,0,0,0,0,0,0.81,4.03,0,0,0.81,0,0.81,0,4.03,0,0,1.61
 48-58,0.57,0,0.57,0,0,0,0,0,0,3.44,0,0,0,1.15,0,0,2.87,0,0,1.15
 60-70,0.98,0,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0,3.93,0,0,1.96
 72-82,0.98,0.98,0.98,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0.98,0,0,1.96
 84-94,6.37,1.06,1.06,3.19,0,1.06,1.06,0,0,0,0,1.06,0,0,1.06,0,10.62,0,0,1.06
 96-106,4.37,3.28,0,1.09,1.09,0,1.09,0,1.09,0,2.19,2.19,0,1.09,0,0,5.46,0,0,0
108-118,9.96,1.53,0,1.53,0,0,0,0,1.53,0,0,0.77,0,0,0,1.53,6.89,0,0,0
120,9.8,0,0,0,0,1.96,3.92,0,1.96,0,1.96,1.96,0,0,0,0,3.92,0,0,0
