stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,2.63,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0
 24-34,0,3.28,0,1.64,0,0.82,0,0,0,1.64,0,0,0,0,2.46,0,3.28,7.39,0,0,0,0,0.82,1.64,0,0.82,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,2.42,0,4.03,1.61,0,0,0,0,0,0.81,0,0.81,0.81
 48-58,0,2.3,0,0,0,1.15,0,0,0,0,0,0,0,0,1.15,0,0.57,0.57,0,0,0,0,0,0.57,0,0.57,0.57
 60-70,0,1.96,0,0,0,0.98,0,0.98,0,0,0,0,0,0,3.93,0,0.98,1.96,0,0,0,0,0,0,0,0,0
 72-82,0,11.78,0,0.98,0.98,0,0.98,0.98,0,0,0,0,0,0,1.96,0,0.98,2.94,0,0,0,0,0,0,0.98,0.98,0
 84-94,0,24.43,0,0,0,0,0,9.56,0,0,3.19,1.06,0,0,3.19,0,1.06,2.12,0,0,1.06,0,0,0,0,0,0
 96-106,0,63.39,0,0,0,1.09,1.09,17.49,0,0,1.09,0,0,1.09,3.28,0,1.09,3.28,2.19,0,3.28,0,0,0,6.56,1.09,0
108-118,0,96.51,0,0.77,0.77,0.77,0.77,28.34,0,0,3.83,5.36,0.77,0,2.3,0,1.53,3.83,1.53,0,16.85,0,0,0,10.72,0,0
120,0,103.87,0,0,0,1.96,0,23.52,0,0,0,3.92,0,0,0,1.96,1.96,1.96,3.92,0,33.32,0,0,0,1.96,0,0
