stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,14,0,0,0,0,1,0,4,0,0,0
 24-34,0.82,0.82,0,4.1,0,0,0,1.64,0,0,0,0,10.67,0,2.46,49.25,0.82,0,0,0.82,0.82,0.82,13.13,0,0,0
 36-46,3.22,0,0,2.42,0.81,0,0,2.42,0,0,0,0,5.64,0,1.61,30.62,0.81,0,0,0,0,0,6.45,0,0,0
 48-58,2.3,0,0,7.46,0.57,1.15,0,5.16,0,0,0,1.15,6.89,0.57,1.15,21.23,0,0,0.57,1.15,1.15,0,5.74,0.57,0.57,0
 60-70,0,0,0,5.89,1.96,0,0,2.94,0,0,0.98,0,9.82,0,0.98,31.41,0,0,0,0,0,0,8.83,1.96,0.98,0.98
 72-82,0,0,0,2.94,0,0,0,2.94,0,0.98,0,0,17.67,0,0.98,49.08,0,1.96,0,0.98,0.98,0,7.85,1.96,0,0.98
 84-94,1.06,0,0,11.68,1.06,0,0,2.12,0,1.06,1.06,0,4.25,1.06,2.12,14.87,0,1.06,0,0,0,0,1.06,2.12,1.06,3.19
 96-106,1.09,0,0,1.09,0,0,1.09,5.46,1.09,2.19,0,0,4.37,0,0,13.11,0,1.09,0,1.09,0,0,0,0,0,0
108-118,0,0,0.77,3.06,0.77,0,0,0,0,0,0,0,2.3,0,0.77,11.49,0,0,0,0.77,0,0,0,0,0,1.53
120,1.96,0,0,3.92,0,0,0,0,0,1.96,0,0,7.84,0,1.96,25.48,0,0,0,0,0,0,0,0,0,0
