stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,40,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
 24-34,0,3.28,95.22,0,0,0,0.82,0,0,0,0,0,0,2.46,4.93,1.64,0.82,7.39,0,0,0.82,0,0.82,0,0,0,1.64,0,0,0.82,0
 36-46,0,0,45.12,0,0.81,0,0,2.42,0,0,0,0,0,0,2.42,1.61,0,7.25,0,0.81,0.81,0,0,0,0,0,4.83,0,0,0,0.81
 48-58,0,0,56.81,0,1.15,0.57,1.15,6.31,0,0,0,0,0,0,2.3,1.15,0,10.33,0,0,1.15,0,0,0,0,0,8.03,0,0,0,0.57
 60-70,0,0,26.5,0,0.98,0,0,9.82,0,0,1.96,0,0,0,24.54,0,0,4.91,0,0,0,0,0.98,0,0,0,1.96,0,0,0,0
 72-82,0,0,42.21,0,4.91,0,0.98,16.69,0,0.98,0,0,0.98,0,62.83,0,1.96,3.93,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,48.85,0,9.56,0,0,4.25,2.12,0,0,1.06,0,0,47.79,0,0,3.19,0,0,3.19,0,3.19,0,1.06,0,2.12,0,0,0,0
 96-106,0,0,54.64,1.09,6.56,0,2.19,10.93,5.46,0,0,0,0,0,44.81,0,3.28,5.46,0,0,5.46,0,0,0,1.09,0,1.09,2.19,1.09,0,0
108-118,0,0,36,0.77,0.77,0,0.77,5.36,0.77,0.77,0.77,0,0,0,32.17,0.77,0,3.83,0,0,0.77,0,1.53,0,0.77,0,0,0,0,0,0.77
120,0,0,15.68,0,1.96,0,3.92,3.92,1.96,0,0,0,0,0,17.64,1.96,0,1.96,0,0,5.88,0,1.96,0,0,0,0,0,0,0,0
