stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,4,77,12,0,0,0,0,0,0,1,4,0,0,0,0,0,0,29,0,1,0,0,0,4,2,0,1,0,0,0,1,0,3,0,0,0,0,0
 24-34,0,0,5.75,84.55,0.82,8.21,0,3.28,0,0,0,0,16.42,0,2.46,0,0,0,0,69.77,0,0.82,0,0,0.82,15.6,0.82,0,0,0,0,0,0,0,3.28,0,0,0.82,0,0
 36-46,0,0,2.42,10.47,0.81,4.83,0,1.61,0,0,0,0,20.14,0,2.42,0,0.81,0,0,54.79,0,3.22,0,0.81,1.61,9.67,0.81,0.81,0,0,0,0.81,0,0,4.83,0,0,0,0,0
 48-58,0,0,0.57,4.59,1.72,3.44,0,1.72,0,0,0.57,1.15,14.92,0,2.3,0,0,0,0,45.9,0,6.89,0,0,0.57,16.64,0,0,0,0,0,0,0,0,4.02,0,0,0.57,0,0
 60-70,0.98,0,1.96,0,3.93,4.91,4.91,5.89,0.98,0,0.98,0,5.89,0,0.98,0,0,0,0,77.54,0,2.94,0,0,0,28.46,0,0.98,0.98,0,0.98,0,0,0,2.94,0,0,0.98,0,0
 72-82,0,0,0.98,0,0.98,3.93,70.68,20.61,0,0,1.96,9.82,8.83,0,0.98,0,0.98,0,0.98,172.77,0,13.74,0,0.98,1.96,94.24,0,0,2.94,0,0,3.93,0,0,4.91,0.98,0.98,2.94,0,0.98
 84-94,0,0,2.12,0,3.19,4.25,147.62,16.99,0,0,2.12,4.25,5.31,0,2.12,3.19,0,0,1.06,520.4,0,10.62,0,0,2.12,83.9,1.06,1.06,1.06,0,2.12,9.56,0,0,2.12,2.12,0,0,0,1.06
 96-106,0,0,2.19,0,13.11,16.39,311.46,40.44,1.09,2.19,4.37,12.02,9.84,0,0,5.46,1.09,1.09,1.09,778.11,0,43.71,2.19,0,3.28,213.11,2.19,2.19,4.37,0,0,18.58,1.09,0,2.19,1.09,0,7.65,5.46,1.09
108-118,0,0,5.36,0,17.62,7.66,605.11,38.3,0.77,2.3,0,16.09,7.66,0,0.77,3.83,0.77,0.77,3.83,1488.27,0.77,39.83,0.77,1.53,10.72,206.81,1.53,3.06,0.77,0,0.77,16.85,0,0.77,0.77,0.77,0,5.36,0,1.53
120,0,0,5.88,1.96,9.8,7.84,278.29,15.68,0,1.96,5.88,11.76,1.96,0,0,3.92,1.96,1.96,0,807.43,0,39.2,0,3.92,1.96,166.58,0,1.96,1.96,0,0,9.8,0,0,1.96,0,0,1.96,0,3.92
