stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,9,0,10,0,0,0,0,0,0,26,0,1,0,0,6,0,0,76,0,0,0,0,0,0,2,3,0,0,0
 24-34,0,2.46,2.46,0,32.01,0,0,0,0,0,0,25.45,0,0,0,1.64,2.46,0,0,59.1,0.82,0,0,0,0,0,0,0.82,0.82,0,0
 36-46,0,0,0.81,0,22.56,0,0.81,0,1.61,0,0.81,3.22,0,0.81,0,0,0,0,0,34.64,0,0,0,1.61,0,0.81,0,0.81,0,0,0.81
 48-58,0,1.15,3.44,0,10.9,0,0,0,1.72,0,0.57,5.16,0,0.57,0,0.57,0,0,0,18.94,0,0,0,0,0,0,0,1.72,0.57,0,0
 60-70,0,0,4.91,0,14.72,0.98,0,0,3.93,0,0,1.96,0,0,0.98,0.98,0,0,0,20.61,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,2.94,48.1,0,17.67,0,0,0.98,6.87,0,0,0.98,0,2.94,0,5.89,0,0,0,25.52,0,0,0,0,0.98,0,0,1.96,0,0,0
 84-94,0,2.12,22.3,1.06,21.24,0,0,0,6.37,0,3.19,7.43,0,3.19,0,1.06,0,0,0,24.43,0,1.06,1.06,0,2.12,0,0,0,0,1.06,0
 96-106,0,3.28,37.16,1.09,19.67,0,0,0,12.02,1.09,5.46,2.19,0,38.25,0,6.56,1.09,0,1.09,21.86,0,1.09,0,2.19,1.09,0,0,0,0,1.09,0
108-118,0,1.53,27.57,3.83,29.87,0,0,0,8.43,0,0.77,3.83,0.77,114.13,0,5.36,0,0.77,1.53,26.81,0,0,1.53,0,4.6,0,0,0,0,0,0
120,0,3.92,62.71,0,29.4,0,0,0,13.72,0,3.92,0,0,113.67,0,1.96,0,0,0,74.47,0,0,1.96,0,7.84,0,0,0,3.92,0,0
