stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,751.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,306.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,13,7,0,3,0,0,1,3,0,1,0,0,0,0,10,0,2,0,0,2,38,0,1,7,2,0,0,0,2,1,2,4,9,0,0,9,0,0
 24-34,0,0,0,0,21.34,0.82,0,9.03,1.64,0,2.46,0.82,0,9.85,0,0,0,7.39,9.85,0.82,3.28,0,0,1.64,148.57,4.93,6.57,42.68,0,0,0,0,0,0,0,0.82,12.31,0,0,137.9,0,0
 36-46,0,0,0,0,11.28,0,0,8.86,4.03,0,12.09,1.61,0,4.83,0,0.81,0,8.86,1.61,0,4.83,0,0,1.61,102.32,2.42,8.86,36.26,0,0,0.81,0,0,0,0.81,0,12.89,0,0,151.47,0,1.61
 48-58,0,0,0,0.57,7.46,0,0,10.33,6.31,0,29.26,0,5.16,9.75,0,0,0,16.07,0.57,0.57,57.38,1.72,0,0.57,71.15,4.59,7.46,29.84,0,0,1.15,0,0,0,0,0,9.75,0,0.57,137.71,0,0.57
 60-70,0,0,0,0.98,21.59,0.98,0,53.98,18.65,1.96,82.45,0,6.87,13.74,0.98,0,3.93,27.48,0,0.98,209.06,0,0,1.96,65.76,6.87,11.78,46.13,0,0,2.94,0.98,0,0.98,0,0,9.82,0,0.98,121.71,0,0.98
 72-82,0,0,0.98,0.98,69.7,0.98,0,145.29,17.67,1.96,112.89,2.94,9.82,19.63,1.96,0,6.87,49.08,1.96,0,321,7.85,0,0.98,95.22,3.93,11.78,69.7,0,0,10.8,0,0,0,0,0,4.91,2.94,2.94,250.32,0,0.98
 84-94,0,0,0,1.06,160.37,0,0,147.62,49.92,2.12,55.23,6.37,9.56,7.43,0,3.19,3.19,63.72,0,2.12,245.33,7.43,2.12,3.19,79.65,8.5,43.54,92.4,0,1.06,37.17,0,0,0,0,0,7.43,28.68,2.12,217.72,2.12,1.06
 96-106,0,0,0,0,251.35,3.28,0,155.18,53.55,2.19,71.04,7.65,2.19,21.86,4.37,5.46,2.19,88.52,1.09,0,177.04,12.02,0,0,91.8,4.37,50.27,104.91,0,0,50.27,1.09,0,1.09,0,0,6.56,60.11,0,267.75,3.28,1.09
108-118,0.77,0,0,2.3,268.85,1.53,0.77,129.45,85.79,1.53,78.89,16.09,0,9.96,0.77,10.72,3.06,66.64,1.53,2.3,131.75,7.66,2.3,2.3,90.38,5.36,40.6,107.23,0,0,65.87,0,0,3.83,0,0,1.53,82.72,0,227.49,0.77,1.53
120,0,0,0,0,235.17,1.96,1.96,145.02,43.12,1.96,72.51,17.64,0,11.76,1.96,1.96,1.96,43.12,5.88,0,133.27,15.68,3.92,1.96,97.99,1.96,33.32,84.27,0,0,84.27,0,0,0,0,0,3.92,23.52,1.96,217.54,1.96,0
