stage,blastomeres,erythrocytes,eye,glial,gut,hatching_gland,mesenchyme,neural,olfactory,periderm,spinal_cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,1.64,0.82,0,0,0,4.93,0,0,0
 36-46,0,0,0,0,0,0,0,5.64,1.61,0,1.61
 48-58,0,0,0.57,0,0,0,0,0.57,0,0.57,0
 60-70,0,0,0.98,0,0,0,0,0,0,0,0.98
 72-82,0,0,0.98,0,0,0,0.98,0,0,0,0
 84-94,0,0,1.06,1.06,0,0,2.12,1.06,0,0,0
 96-106,0,0,0,0,0,0,2.19,1.09,0,0,1.09
108-118,0,0.77,0.77,0,3.83,0,0,3.06,0,0,0
120,0,1.96,3.92,0,0,0,0,0,0,0,0
