stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,39.53,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,10.51,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,1,4,0,0
 24-34,0,0,0,0,0.82,3.28,0,0,0,0,0.82,0,1.64,17.24,0,0,0.82,0,0.82,0,0,0,1.64,0,0
 36-46,0,0,0,2.42,0,2.42,0,0.81,0,0,2.42,0,0,8.06,0,0,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,2.3,0,0.57,0,0,1.15,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,1.96,0,1.96,0,0,1.96,0,0,2.94,0,0.98,0,0,0,0,0,0,0.98,0.98,0
 72-82,0,0,0,0,0,2.94,0,0,0,0,1.96,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,1.06,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.19,2.19,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,1.53,0,0.77,0,0,0,0.77,0,0.77,0,0.77,0,0,0,0,0.77,0,0.77,0,0,0.77,0.77
120,0,0,0,0,0,1.96,0,0,0,0,1.96,0,3.92,1.96,0,0,0,0,0,0,0,0,0,0,0
