stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,31.47,6.29,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,1,0,0,7,175,32,0,15,0,2,0,1,7,5,6,4,3,0,0,0,0,73,4,0,48,72,28,0,6,12,0,10,26,6,1,51,62,0,0,14,0,0
 24-34,0,0,0.82,3.28,21.34,2.46,0,12.31,0,5.75,1.64,0,1.64,0,1.64,4.93,8.21,0.82,0,2.46,0.82,10.67,7.39,0,12.31,27.91,7.39,3.28,5.75,0,0,48.43,0,4.1,0.82,9.03,12.31,0,0,9.03,0,0.82
 36-46,0,0,0,0.81,22.56,0,0,9.67,0,3.22,2.42,2.42,0,0,4.03,12.09,2.42,0,4.03,0,3.22,37.06,4.83,0.81,12.89,47.53,8.86,1.61,4.03,0,0,31.42,0,1.61,0,0.81,8.06,0,0,13.7,0,0.81
 48-58,0,0,0,0.57,13.77,1.15,0,14.35,1.72,8.03,3.44,8.61,1.72,1.72,5.16,6.89,3.44,1.15,2.3,0,0,53.94,5.16,2.87,6.31,30.99,1.72,0.57,2.87,0,0,36.15,0,1.15,2.3,0,12.05,0,1.15,6.89,0,2.3
 60-70,0,0,0,0.98,28.46,2.94,0,24.54,1.96,12.76,12.76,18.65,3.93,0.98,2.94,12.76,2.94,0.98,3.93,0,1.96,142.32,6.87,7.85,8.83,43.19,1.96,0.98,6.87,0,0.98,34.35,0,1.96,0,0,12.76,2.94,2.94,11.78,0.98,3.93
 72-82,0,0,2.94,0,19.63,23.56,0,22.58,0.98,5.89,5.89,19.63,8.83,2.94,4.91,20.61,3.93,1.96,4.91,0.98,0,115.84,8.83,6.87,9.82,33.38,1.96,1.96,8.83,0,0.98,44.17,0,1.96,0,0,8.83,0.98,2.94,22.58,6.87,3.93
 84-94,0,0,1.06,0,56.29,14.87,0,27.61,1.06,12.74,4.25,9.56,9.56,1.06,3.19,27.61,8.5,5.31,9.56,2.12,5.31,100.89,9.56,7.43,9.56,37.17,4.25,0,11.68,0,1.06,145.5,0,3.19,0,0,7.43,8.5,5.31,15.93,10.62,4.25
 96-106,0,0,2.19,0,64.48,19.67,2.19,32.79,2.19,22.95,3.28,13.11,24.04,0,3.28,39.34,16.39,5.46,7.65,2.19,1.09,100.54,6.56,3.28,7.65,38.25,2.19,4.37,8.74,0,4.37,126.77,0,6.56,2.19,0,2.19,1.09,5.46,22.95,9.84,3.28
108-118,0,0,2.3,0.77,71.23,9.19,3.83,26.04,1.53,22.21,4.6,17.62,18.38,0,1.53,37.53,16.85,5.36,6.13,2.3,6.89,89.62,6.13,6.13,6.13,53.62,6.89,3.06,8.43,0,3.83,118.72,0,4.6,0.77,0,6.89,17.62,4.6,11.49,5.36,7.66
120,0,0,0,0,78.39,15.68,0,23.52,0,15.68,1.96,13.72,29.4,0,0,45.08,9.8,0,3.92,0,1.96,62.71,17.64,1.96,15.68,29.4,5.88,0,3.92,0,1.96,148.94,0,1.96,0,0,0,5.88,5.88,13.72,5.88,9.8
