stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,32,0,0,0,0,0,0,0,0,0,1,0,0,9,0,1,1,0,52,13,61,0,0,0
 24-34,0,0,1.64,0,0.82,0,34.48,0,0,0,0,0.82,0,0,0.82,0.82,0,0,0,13.95,1.64,7.39,0.82,0,45.97,16.42,38.58,0,0.82,0
 36-46,0,0,0,0,0,0,16.11,0,0,0,0,0,0,0,0,0,0,0,0,12.89,0,13.7,0,0,15.31,12.09,35.45,0,0,0
 48-58,0,0,0.57,0,1.72,0,15.49,0.57,0,0,0,0,0,0.57,0,0.57,0,0,0,9.18,0,8.61,2.3,0,12.62,4.59,24.67,0,0,0.57
 60-70,0,0,0,0,0.98,0,8.83,0,0.98,0,0,0,0,0,0,0,0,0.98,0,9.82,0,15.7,3.93,0,21.59,0.98,14.72,0,0,0
 72-82,0,2.94,0,0,4.91,0.98,20.61,0.98,0,0,0,2.94,0,0,0,1.96,0,0,0,13.74,0,18.65,2.94,0,43.19,1.96,9.82,0,0,0
 84-94,0,1.06,0,1.06,0,1.06,12.74,0,2.12,1.06,0,3.19,0,4.25,1.06,2.12,0,0,0,9.56,0,20.18,10.62,0,95.58,5.31,8.5,0,0,0
 96-106,0,0,5.46,1.09,3.28,1.09,8.74,1.09,1.09,0,0,1.09,0,6.56,1.09,3.28,1.09,0,0,3.28,0,39.34,18.58,0,133.33,4.37,10.93,0,0,0
108-118,0,0.77,3.06,0,0,1.53,9.96,0,0,0,0,3.83,1.53,8.43,5.36,3.83,1.53,0,0.77,5.36,0,19.92,8.43,0,43.66,3.06,9.96,0.77,0,0
120,0,0,1.96,0,3.92,1.96,3.92,0,0,0,1.96,0,0,1.96,3.92,1.96,0,0,0,11.76,0,19.6,13.72,0,31.36,1.96,9.8,1.96,0,0
