stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,69.23,3.15,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,21,1,2,0,0,0,0,0,0,0,3,0,0,2,0,0,6,0,0,2,44,2,0,1,0,0,0,2,2,4,4,0,0,0,0,0
 24-34,0,0.82,0,4.93,2.46,0,0,0,0,0,0,0,0,9.03,0,0,9.03,0,0,12.31,0,0,0.82,30.37,6.57,0.82,0,0,0,5.75,0,0,0,5.75,0,0,0,0,0.82
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,0,0,11.28,0,0,1.61,0,0,49.95,0.81,0,0,33.03,3.22,0,1.61,0,0,3.22,0,0,0,8.06,0,0,0.81,0,4.03
 48-58,0,0,0,7.46,0,8.03,0,0.57,0,1.72,0,0,0,16.64,0.57,0.57,2.87,0,0,90.66,0,0,1.72,39.02,2.3,0,0,0,0,1.72,0,0,0,12.05,0,0,0.57,0,14.35
 60-70,0,0,0,6.87,0,4.91,0,0.98,0,0,1.96,0,0.98,24.54,1.96,0,4.91,0,0.98,150.17,1.96,0,0.98,35.33,0,0.98,0,0,0,3.93,0,0,0,3.93,6.87,0,3.93,0,23.56
 72-82,0,0,0,10.8,0,11.78,0,0.98,0,5.89,2.94,0,0,88.35,3.93,0,8.83,0.98,0,261.12,0.98,0,1.96,51.05,0.98,0.98,0,0,0,1.96,0,0,0,0.98,20.61,0.98,6.87,0.98,40.25
 84-94,0,0,0,14.87,2.12,18.05,1.06,0,2.12,2.12,2.12,0,0,113.64,8.5,0,6.37,0,0,227.28,3.19,0,0,40.36,1.06,0,0,0,0,6.37,0,0,0,2.12,73.28,1.06,4.25,0,30.8
 96-106,0,0,0,16.39,4.37,17.49,0,0,0,7.65,5.46,0,0,161.74,8.74,0,7.65,0,0,210.92,2.19,1.09,0,31.69,3.28,1.09,1.09,0,1.09,6.56,0,0,0,1.09,74.31,0,9.84,2.19,33.88
108-118,0,0,0,9.96,0.77,10.72,0,1.53,0,7.66,6.13,0,0,156.26,9.96,0,5.36,0.77,0,158.55,0,0,0,40.6,0.77,0,0.77,0,0,6.89,0,0,0,0.77,91.15,0,4.6,0,46.72
120,0,0,0,9.8,0,5.88,0,1.96,0,7.84,7.84,0,0,221.46,7.84,0,3.92,1.96,0,127.39,0,0,1.96,33.32,3.92,0,1.96,0,0,11.76,0,0,0,1.96,33.32,0,5.88,0,21.56
