stage,endocrine_pancreas,eye,glial,melanocytes,mesenchyme,muscle,neural,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,1,10,0,0,0,0,3,0,0,0,0,0
 24-34,0,35.3,0,0,1.64,0.82,17.24,0,0,1.64,0,0
 36-46,0,44.31,0,0.81,1.61,0,16.92,0.81,0,2.42,0,0
 48-58,0,64.27,1.15,0,2.3,0,14.92,0,0.57,0,0,0
 60-70,0,68.71,0.98,0,0.98,0,6.87,0,0,1.96,0,0
 72-82,0,55.95,4.91,0,3.93,0,7.85,0,0,0,0,0
 84-94,0,33.99,5.31,0,4.25,0,1.06,2.12,0,0,0,0
 96-106,0,24.04,3.28,0,4.37,0,1.09,0,0,0,0,1.09
108-118,0,29.11,2.3,0,1.53,0,4.6,0.77,0,0,0,0
120,0,27.44,1.96,0,1.96,0,15.68,0,0,0,1.96,0
