stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,105.42,1989.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.27,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,802.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,324.87,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,13.14,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,81.49,0,0,0,31.54,0,78.86,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,22.03,0,0,0,3.15,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,251.76,3.15,0,0,25.18,0,37.76,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,22,357,5,0,1,0,5,0,0,20,19,0,0,53,0,0,0,0,0,6,0,3,11,1,8,25,0,0,298,1,2,3,0,4,3,0,0,0,0
 24-34,0,0,1.64,6.57,83.73,0,0,0.82,0,4.93,0,0.82,4.1,0,0,0,45.15,0,14.78,0,0,1.64,17.24,0,0.82,57.46,0.82,54.18,13.95,0,0,337.37,0.82,0,2.46,0,0,1.64,0,0,0,0
 36-46,0,0,0,0.81,24.98,0,0,1.61,0,2.42,0.81,0.81,1.61,0,0.81,0,6.45,0,5.64,0,0.81,0.81,4.03,0,0,38.67,0,34.64,9.67,0,0,230.42,0,0,0.81,0,0,6.45,0,0.81,0,0.81
 48-58,0,0,0,0,26.4,0,0,3.44,0,7.46,0,1.15,1.15,2.3,0,0,8.03,0.57,9.75,0,0,2.3,10.33,0,0.57,25.82,0,16.07,8.61,0,0,195.09,0,0,0,0,0,4.02,0,0,0,0
 60-70,0,0,0,0,48.09,0,0,5.89,0,8.83,0,1.96,1.96,4.91,0,0,4.91,0,6.87,0,0,3.93,5.89,0,0,13.74,0.98,16.69,7.85,0,0,250.29,0,0,0,0,0,0.98,4.91,0,0,0
 72-82,0,0,1.96,0,58.9,0.98,0,5.89,0,4.91,0,1.96,21.6,0.98,0,0.98,26.5,0,21.6,0,0,3.93,14.72,0.98,0.98,20.61,0,31.41,21.6,0,0,319.04,0,0,0.98,0.98,0,1.96,11.78,0,0,0
 84-94,0,0,5.31,0,126.38,0,0,6.37,0,28.68,1.06,0,35.05,2.12,0,0,40.36,1.06,21.24,1.06,0,2.12,23.36,0,0,11.68,0,33.99,15.93,0,0,808.21,1.06,0,3.19,0,0,1.06,35.05,0,0,0
 96-106,0,0,2.19,0,206.55,1.09,0,13.11,0,49.18,0,7.65,56.83,0,0,5.46,54.64,0,43.71,1.09,0,7.65,37.16,0,0,31.69,0,43.71,48.09,0,0,955.15,0,0,2.19,0,0,0,42.62,1.09,0,0
108-118,0,0,3.06,0,180,1.53,0.77,5.36,0.77,63.57,1.53,4.6,45.19,0,0,3.83,52.09,0,25.28,0,0,6.89,34.47,0,0,17.62,0,34.47,29.11,0,0.77,821.11,0,0,0.77,0,0,0.77,40.6,1.53,1.53,0.77
120,1.96,0,0,0,131.31,0,0,5.88,0,50.95,0,3.92,27.44,0,0,1.96,19.6,0,15.68,1.96,0,3.92,13.72,0,0,15.68,1.96,29.4,29.4,0,0,489.95,0,0,5.88,1.96,0,0,7.84,0,0,0
