stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,32.01,0,0,0,0,0,0,4.93,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0.81,0,70.9,0,0,0,0,0,0,4.03,0,0,0.81
 48-58,0,0,0.57,0,7.46,0,0,0,0.57,0,0.57,0,0.57,0.57,88.94,0,0,0,0.57,0,0,1.72,0,0,0.57
 60-70,0,0,0.98,0,57.91,0,0,0,1.96,0,0,0,4.91,0,193.36,0,0,0,0,0,0,10.8,0,0,0.98
 72-82,0,0,4.91,0.98,100.13,0.98,0,0,3.93,0,0,0,2.94,0,270.94,0,0,0,0,0,0,5.89,0,0,0
 84-94,0,0,2.12,0,60.54,0,1.06,0,6.37,0,0,1.06,1.06,0,158.24,0,0,2.12,0,0,0,1.06,1.06,1.06,0
 96-106,0,0,2.19,1.09,60.11,0,1.09,1.09,8.74,1.09,0,0,1.09,0,150.81,0,0,0,0,0,0,3.28,0,0,0
108-118,0,0,5.36,0,48.26,0,0,0,3.83,0,0,0,3.83,0.77,150.89,0,0,0,0,0.77,0,1.53,0,0,0.77
120,0,0,3.92,0,54.87,0,1.96,0,5.88,0,0,0,7.84,1.96,148.94,1.96,1.96,0,0,0,0,0,0,3.92,0
