stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,otic,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,20,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,9,2,0,0,1,2,4,3,0,0,22,0,0
 24-34,0,0,0,0,4.1,0,0,0,1.64,0,0.82,0,0,0,0,0,0,0,41.86,0,0,22.98,5.75,0,0,0,0.82,0,0.82,0,0,57.46,0,0
 36-46,0,0,0,0,0.81,0,0,0,1.61,0.81,0,0,0,0,0,0,0,0,87.01,0,0,24.17,4.83,0,0,0,0,0,0.81,0,0,33.03,0,0
 48-58,0,0,0,0.57,0.57,0,1.72,0,0,4.59,1.72,0,0,2.3,0,0,0,0.57,142.3,0,0,17.21,2.87,0,0,0,0,0,1.72,0,0.57,20.08,0,0
 60-70,0,0,0,0,0.98,0,2.94,0.98,0.98,4.91,1.96,0,0,4.91,0.98,0,0,0,223.79,0,1.96,27.48,6.87,0,2.94,0.98,0,0,1.96,0,1.96,18.65,1.96,0
 72-82,0,0,0,1.96,0.98,0,20.61,0,0,26.5,5.89,0,0,9.82,0,0,0,0,495.74,0,9.82,41.23,25.52,0,4.91,0,0,0,0,0.98,3.93,43.19,20.61,0.98
 84-94,0,0,0,1.06,0,0,19.12,0,1.06,12.74,4.25,0,0,6.37,3.19,0,0,0,292.06,0,0,28.68,10.62,1.06,3.19,0,0,0,0,0,5.31,32.92,18.05,0
 96-106,0,0,0,1.09,6.56,0,15.3,0,2.19,24.04,1.09,1.09,0,14.21,1.09,0,1.09,0,334.41,1.09,8.74,24.04,19.67,0,5.46,0,0,0,1.09,0,6.56,53.55,30.6,0
108-118,0,0,0.77,0,0,0,10.72,0,0.77,15.32,3.83,0.77,0,4.6,0.77,0.77,0,0,298.73,0,3.83,18.38,26.04,0,9.19,0.77,0,0,0,0,4.6,42.13,9.96,0.77
120,0,0,0,3.92,3.92,1.96,9.8,0,0,9.8,3.92,0,0,9.8,3.92,0,0,1.96,244.97,0,3.92,21.56,17.64,1.96,3.92,7.84,0,0,0,0,3.92,21.56,19.6,0
