stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,10.51,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,6.29,37.76,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,148,0,3,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,2.46,0,3.28,0,4.93,0,0,0,283.2,0,0,0,0,0
 36-46,0,0,0.81,0,0,0.81,0,0.81,0,0,0,0,1.61,0,0.81,0,9.67,0,0,0,269.9,0,0,1.61,0,0
 48-58,0,0,2.87,0,0,1.72,0,1.72,0,0,0,0,0.57,0,0.57,0,4.02,0,0,0,189.36,0.57,0,2.3,0,1.15
 60-70,0,0,14.72,0,0,1.96,0,0.98,0.98,0,0,1.96,0.98,0.98,1.96,0,4.91,0,0.98,0,225.75,5.89,0,0,0.98,0
 72-82,0,0,31.41,1.96,0,4.91,0,0.98,0,0,1.96,0.98,0.98,1.96,3.93,0,7.85,0,0,0,251.31,4.91,0,0,0.98,0
 84-94,0,0,49.92,0,0,5.31,0,8.5,0,2.12,1.06,9.56,10.62,2.12,9.56,1.06,2.12,0,0,0,665.9,31.86,0,0,1.06,1.06
 96-106,0,1.09,79.78,1.09,2.19,9.84,0,5.46,0,3.28,5.46,5.46,12.02,5.46,6.56,0,12.02,0,1.09,0,607.62,26.23,0,0,0,0
108-118,0,0,56.68,0.77,1.53,8.43,0.77,10.72,0,1.53,17.62,12.26,13.02,3.83,9.19,0.77,13.02,0,1.53,0,454.22,22.21,0,0,0.77,0.77
120,0,0,41.16,0,1.96,5.88,0,11.76,0,0,19.6,7.84,15.68,3.92,5.88,0,11.76,0,0,0,344.92,15.68,0,0,0,0
