stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,10,0,0,0,0,0,1,0,0,0,3,0,0,0
 24-34,0,0,0,0.82,0,7.39,0,0,0,2.46,0,0,0.82,0,0,0,0,1.64,0,0,14.78,0.82,0,0,0,0.82,0,0.82,0,0.82,9.85,0,0,0
 36-46,0,0,0.81,0,0,11.28,0.81,0,0,0.81,0,0,0.81,0,0.81,0,0,0.81,0,1.61,15.31,0.81,0,0,0,0,0,0,0,0,8.06,0,0,0
 48-58,0,0,0,0,0,14.92,0,0,0,2.87,0,0,0,0,0,0,0.57,4.02,0,0.57,6.31,0,1.15,0,0,0.57,0,0,0,0,7.46,0,0,0
 60-70,0,0,0,0,0,53.98,0,0,0,6.87,0,0,0,0,0,0,0,4.91,0,0.98,19.63,0,0.98,0,0,0,0,0.98,0,0,1.96,0,0,0
 72-82,0,0,0,0.98,0,102.09,0,0,0,2.94,0.98,0,0.98,0,0,0.98,0,5.89,0,0,10.8,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0
 84-94,0,0,3.19,1.06,0,113.64,0,0,1.06,3.19,0,0,0,2.12,1.06,0,1.06,6.37,0,0,9.56,0,0,0,0,1.06,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,13.11,0,1.09,125.68,1.09,0,0,9.84,0,1.09,0,0,0,2.19,0,7.65,0,1.09,4.37,0,0,1.09,0,1.09,0,0,1.09,0,0,0,1.09,0
108-118,0,0.77,0,0.77,0,121.79,0,0,0,10.72,0,0,0.77,0.77,0,0,0,3.83,0,1.53,12.26,0,0,0,0,0,0,0,0.77,0,0.77,0,3.06,0
120,0,0,5.88,0,0,176.38,1.96,3.92,0,9.8,0,0,0,1.96,1.96,0,0,7.84,1.96,1.96,19.6,0,0,0,0,5.88,0,1.96,0,0,0,0,0,1.96
