stage,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,0,5,0,0
 24-34,0,0,0.82,0,0,0,0,0,0.82,0,0.82,4.93,0,0,0,0.82,2.46,0,0
 36-46,1.61,0.81,0,0,0,0,0,0.81,0.81,0,0.81,5.64,0,0,0.81,1.61,1.61,0,0
 48-58,0,0,0,0,0,0.57,0,0,0.57,0,0,14.35,0,0,1.15,0,2.3,0,0.57
 60-70,0.98,0,3.93,0,0,0,0,0,2.94,0,0,14.72,0,0,0,0,7.85,0,0
 72-82,0,0,14.72,0.98,0,1.96,0.98,0,3.93,0,0,33.38,0,0,0.98,0,2.94,0,0
 84-94,0,0,15.93,0,1.06,0,0,0,1.06,0,0,13.81,0,0,0,0,1.06,1.06,0
 96-106,0,0,6.56,0,0,1.09,0,0,5.46,0,0,18.58,0,0,1.09,0,1.09,0,0
108-118,0,0,5.36,0.77,0,0,0,0,2.3,0.77,0,18.38,0.77,0,0,0,0.77,0,0
120,1.96,0,7.84,0,0,0,0,0,0,0,0,35.28,0,0,0,0,1.96,0,0
