stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vasculature,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,18.39,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,21.03,2.63,0,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,15.73,0,0,0,0,6.29,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,1,1,0,1,4,0,0,0,0,0,1,40,0,0,0,0,9,0,2,0,0,13,0,0
 24-34,0,0,0.82,3.28,0,0,2.46,0.82,0,0,0,0,0.82,0,63.21,0,0.82,0,0,1.64,0,0,0.82,0,18.06,1.64,0
 36-46,0,0,0,2.42,0,0,3.22,1.61,0,0,0,0.81,2.42,0,33.03,0,0.81,0,0,3.22,0,0,0,0.81,12.89,0,0
 48-58,0,0,0,1.15,0,0,4.59,1.72,0,0,0,0,0.57,0,9.75,0.57,0,0.57,0,0.57,0,0,0,0,4.02,0,0
 60-70,0,0,0,0.98,0,0,7.85,3.93,0,0,0,0,1.96,0,5.89,0,0,0,0,0.98,0,0,0,0,2.94,0,0
 72-82,0,0,0,0,0,0,5.89,0.98,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,3.93,0,0.98
 84-94,0,0,0,0,0,0,8.5,0,0,0,0,0,1.06,0,4.25,1.06,0,0,0,0,0,0,0,0,3.19,0,0
 96-106,0,0,0,0,0,1.09,1.09,3.28,1.09,0,0,0,0,0,3.28,0,1.09,0,0,1.09,0,0,0,0,4.37,0,0
108-118,0,0,0.77,0.77,0,2.3,3.06,5.36,0,0,0.77,0,1.53,0,2.3,0,0.77,0.77,0,0,0,0,0,0,3.83,0,0
120,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
