stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,visceral_smooth_muscle
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0
 24-34,0,0,0,0.82,0,0,2.46,0,0,0,0,0,0,0,0.82,0,0.82,0,46.79,2.46,0,0,0.82,19.7,0,0
 36-46,0,0,0,0,0,0,2.42,0,0,2.42,0,0,0,0,0,0,1.61,0,76.54,4.03,0,0,0,28.2,0,0
 48-58,0.57,0,0,0.57,0,0,9.75,0,0,0.57,0,0,0,0,0,0.57,1.15,0,58.53,0.57,0,0.57,0,18.94,0,0
 60-70,0,0,0,0,0,0,46.13,0,0,2.94,0.98,0,0,0,0,0,0,0.98,99.13,0.98,0,0,0,13.74,0,0
 72-82,0,0,0.98,0.98,0.98,0,42.21,0,0.98,3.93,0.98,0,0.98,0,0,5.89,0.98,0,87.37,1.96,1.96,0,0,13.74,0,0.98
 84-94,0,0,2.12,0,0,0,25.49,0,0,3.19,1.06,0,0,1.06,0,0,2.12,0,65.85,2.12,1.06,0,0,12.74,0,0
 96-106,0,0,1.09,0,0,0,26.23,1.09,0,1.09,2.19,0,0,0,0,1.09,1.09,0,50.27,0,0,0,0,4.37,0,0
108-118,0,0,2.3,0.77,0,3.06,17.62,0,0,1.53,1.53,0,1.53,0,0,4.6,0,0.77,58.21,0.77,0,0,0.77,2.3,0.77,0
120,0,0,1.96,0,0,3.92,15.68,0,0,3.92,1.96,0,0,0,0,1.96,3.92,0,62.71,1.96,0,3.92,0,3.92,0,0
