stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,8,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,15,5,2,0,0,0,1,5,8,16,0,0,0
 24-34,16.42,0,0,0,4.1,0,0,0,0.82,0,0,0,0.82,3.28,0,0,4.93,5.75,0,0.82,0,0,0,0,0,8.21,0,1.64,0
 36-46,4.83,0,0.81,0,2.42,1.61,1.61,0,0,0,0,0,0.81,2.42,0,0,1.61,7.25,0,0,0,0,0,0,0,4.03,0,1.61,0
 48-58,8.61,0,2.3,0,2.87,1.15,0.57,0,0,0,0,0,0,5.74,0,0,0,5.16,0,0,0.57,0,0,0,0,4.02,0.57,2.87,0
 60-70,4.91,0,3.93,0,3.93,0,0,1.96,0,0,0,0,0,6.87,0,1.96,0.98,4.91,0,0,0,0,0,0,0,0,0,1.96,0
 72-82,8.83,0,12.76,0,0.98,0,0.98,0.98,1.96,0,0.98,0,3.93,8.83,0,0,0.98,10.8,0,0,1.96,3.93,1.96,0,0,0.98,0,1.96,2.94
 84-94,14.87,0,8.5,0,5.31,0,2.12,5.31,1.06,0,0,0,2.12,9.56,1.06,3.19,2.12,8.5,0,1.06,1.06,0,1.06,0,0,1.06,0,2.12,2.12
 96-106,15.3,1.09,4.37,1.09,4.37,0,0,0,0,2.19,0,1.09,2.19,14.21,0,0,5.46,8.74,0,0,0,1.09,2.19,0,0,1.09,1.09,3.28,4.37
108-118,12.26,0,3.83,0.77,3.83,1.53,1.53,3.83,0.77,1.53,0,3.06,2.3,7.66,0,2.3,0,4.6,0.77,0,0,3.06,1.53,0,0,0,0,0.77,1.53
120,9.8,0,1.96,0,0,0,1.96,0,0,0,0,0,0,3.92,1.96,0,0,5.88,0,0,0,0,0,0,0,3.92,0,1.96,1.96
