stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,spinal_cord
 10-12,0,3.15,3.15,0,0,0,0,0,3.15,0,0,3.15,0
 14-21,0,0,0,0,0,0,0,0,1,0,1,0,0
 24-34,0.82,0,0,0,0,0,1.64,0.82,6.57,0,0,0,0
 36-46,0.81,0,1.61,0,0,0,0.81,0,8.06,0,0,0,0.81
 48-58,0,0,1.15,0,0,0,1.15,0,3.44,0.57,0,0,0.57
 60-70,0,0,7.85,0.98,0,0,0.98,0,6.87,0,0,0,0.98
 72-82,0,0,1.96,0,0.98,0,0,0,6.87,0,0,0,1.96
 84-94,0,0,1.06,0,0,1.06,2.12,1.06,2.12,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,2.19,0,0,0,0
108-118,0,0,0.77,0,0.77,0,0,0,1.53,0,0,0,0
120,0,0,1.96,0,0,0,1.96,0,11.76,0,0,0,0
