stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,9.44,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.49,8.21,1.64,0,0,0,0,0,0,0.82,18.88,0,0,0,0,0
 36-46,0,0,0,0,0,0,7.25,0,2.42,0,0,0,0,0,0,0,0.81,0,0,0,218.34,14.5,0,0,0,0,0,0,0,0,42.7,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,20.08,0,3.44,0,0,0,0,0.57,0,0,0,2.3,0.57,0.57,313.3,10.33,0.57,0,0,0,0,0,0,0,44.76,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,72.63,0,20.61,0,0,0,0,0,0,0,0,2.94,0,0,565.36,16.69,0,0,0.98,0.98,0,0,0,0,69.69,0,0,0,0,1.96
 72-82,0,0,0,3.93,0.98,0,94.24,0,25.52,0,0,0.98,0.98,0,0,0,0,11.78,0,1.96,526.17,22.58,0,0,0,0.98,0,0,0,0,51.05,0,0.98,0,0,0.98
 84-94,0,0,0,3.19,0,0,74.34,0,16.99,0,0,0,0,0,0,0,0,5.31,0,0,315.43,15.93,0,0,0,1.06,0,0,0,0,37.17,0,0,0,1.06,0
 96-106,0,1.09,0,3.28,1.09,0,53.55,1.09,19.67,0,1.09,0,0,1.09,0,1.09,0,5.46,0,1.09,266.65,32.79,2.19,0,0,0,0,0,1.09,0,15.3,1.09,0,0,1.09,0
108-118,0,0,0,6.13,0,0.77,39.83,0,25.28,0,0.77,0,0,0,0.77,0.77,0,6.13,0.77,0.77,291.83,22.21,1.53,0,0,1.53,0,0,0,0,13.02,0.77,0,0.77,0,0
120,0,0,0,3.92,0,0,50.95,0,7.84,0,0,1.96,0,0,0,0,0,7.84,0,0,278.29,15.68,0,0,0,0,0,0,0,0,15.68,0,0,1.96,0,0
