stage,blastomeres,eye,immune,iridophores,liver,mesenchyme,muscle,neural,periderm,pronephros,spinal_cord,taste
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,4.1,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,1.72,1.15,0
 60-70,0,0,0,0,2.94,1.96,0,0.98,0,2.94,0.98,0
 72-82,0,0,0,0,8.83,0.98,0,0.98,0,6.87,0.98,0
 84-94,0,0,0,1.06,16.99,0,0,1.06,0,15.93,0,0
 96-106,0,5.46,0,0,26.23,1.09,1.09,4.37,1.09,9.84,0,1.09
108-118,0,2.3,0.77,0.77,38.3,1.53,0,3.06,0,16.85,0,0
120,0,1.96,0,0,27.44,1.96,0,1.96,0,13.72,0,0
