stage,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,hatching_gland,immune,lateral_line,melanocytes,mesenchyme,mucous,neural,notochord,olfactory,spinal_cord
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,20.14,0,0,2.42
 48-58,0,0.57,2.3,0,0,0.57,0,0,0.57,0.57,0,16.64,0,0,5.16
 60-70,0,0,5.89,0.98,0,0,0,0,0,0,0,27.48,0,0,1.96
 72-82,0.98,0,12.76,0,0.98,0,0,0.98,0,0.98,0,27.49,0,0,1.96
 84-94,0,0,5.31,0,0,0,0,0,1.06,0,0,11.68,0,0,0
 96-106,0,0,5.46,0,1.09,0,0,0,0,0,1.09,5.46,0,0,0
108-118,0,0.77,4.6,0,0.77,0,0.77,0,0.77,0.77,0,9.19,0,0,0
120,0,0,7.84,0,1.96,0,0,0,0,0,0,7.84,1.96,0,0
