stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,13,0,2,0,0,0,0,0,0,0,0,0,1,0,1,15,12,0,0,0,0,1,0,5,0,0,0
 24-34,0,0,6.57,0,3.28,0,0,0,0.82,0,0.82,0,2.46,1.64,14.78,0,16.42,46.79,8.21,1.64,1.64,0,0.82,0,0,2.46,0,1.64,0
 36-46,0,0,2.42,0,1.61,0,0,0,0.81,0,0,0,0.81,0,37.87,0,6.45,52.37,0.81,0,1.61,0,0.81,0,0,1.61,0,0,0
 48-58,0,0,1.15,0,4.02,0.57,0,0.57,0.57,0,0,0,2.3,1.15,51.07,0,5.74,41.89,1.15,0,2.3,0,0,0,0,2.3,0,0,0.57
 60-70,0,0,0.98,0,2.94,0,0,0,1.96,0,0,0,1.96,1.96,62.82,0,2.94,17.67,0,0,1.96,0,0,0,0,0.98,0,0.98,1.96
 72-82,0,0,0,0.98,2.94,0.98,0,0,0.98,1.96,0,0.98,4.91,0,109.95,1.96,3.93,23.56,0,0,6.87,0,0,0,0.98,0,2.94,0,1.96
 84-94,0,0,3.19,1.06,7.43,1.06,1.06,0,3.19,0,0,1.06,1.06,0,58.41,2.12,2.12,9.56,1.06,1.06,5.31,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,3.28,0,0,1.09,4.37,3.28,0,0,4.37,1.09,65.57,1.09,3.28,10.93,0,0,6.56,0,0,0,0,0,1.09,0,3.28
108-118,0,0,0.77,0,3.06,0,0,0.77,0.77,1.53,0,0,2.3,1.53,50.55,0,3.83,11.49,0,0.77,6.13,0,0,0,0,0,0.77,0,1.53
120,1.96,0,0,0,0,0,0,0,3.92,3.92,0,0,0,0,25.48,0,0,3.92,0,0,3.92,0,0,0,0,0,0,0,0
