stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,869.74,15760.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527.12,0,0,0,0,0,0
  5-6,392.3,4456.24,12.26,0,0,0,0,0,0,6.13,0,0,0,98.07,6.13,0,36.78,30.65,0,0,0,0,0,0
  7-9,2.63,5.26,5.26,0,0,10.51,0,0,0,2.63,0,0,0,162.98,7.89,0,70.98,0,49.95,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,18.88,0,0,0,3.15,0,0,0,110.14,0,0,56.65,3.15,22.03,0,0,0,0,0
 14-21,0,0,1,8,0,11,0,3,0,0,7,0,4,57,0,0,1,0,2,11,8,11,0,0
 24-34,0,0,0,0.82,0,4.1,0,0,0,0,1.64,0,1.64,40.22,0,0.82,0,0.82,0,0,1.64,9.03,1.64,0
 36-46,0,0,0,0.81,0,5.64,0,0.81,0,0,0.81,0,0,12.89,0,0.81,0,0,0,0,0,2.42,0,0
 48-58,0,0,0,0,0,5.74,0,0,0,0.57,2.3,0.57,1.15,6.89,0,0,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,0,0,10.8,0,0,0,0,0.98,0,0.98,4.91,0,0.98,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,4.91,0,2.94,0,0,0.98,0,1.96,3.93,0,0,0,0,0.98,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,2.12,0,1.06,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,2.19,1.09,1.09,2.19,0,0,1.09,0,2.19,1.09,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0.77,0.77,0,0.77,0,0.77,0,2.3,3.06,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
