stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,2372.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0
  5-6,55.17,723.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,24.52,0,0,0,0,0,0,0,0
  7-9,10.51,26.29,42.06,0,0,0,78.86,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,567.8,18.4,0,0,270.76,2.63,2.63,0,0,0,0,0,0,0
 10-12,0,18.88,18.88,0,0,0,100.7,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,679.75,9.44,0,0,144.76,0,9.44,0,15.73,0,0,0,0,0
 14-21,0,0,8,31,13,0,43,0,0,12,1,1,0,0,0,0,0,0,17,0,4,423,4,0,3,10,6,1,19,1,26,119,0,0,0
 24-34,0,0,0,5.75,1.64,0,96.86,0,0.82,11.49,0,0,0,0,1.64,0.82,0.82,0,46.79,0.82,10.67,617.28,0,1.64,4.1,0,7.39,0,0,0.82,0.82,102.61,3.28,0,0.82
 36-46,0,0,0.81,3.22,0,0,143.41,0,0,4.03,0.81,0,0,2.42,0,0,0,0.81,29,2.42,5.64,319.85,0.81,1.61,0,0,3.22,0,0,0,0,61.23,1.61,0,0.81
 48-58,0,0,0,2.3,0,0,179.6,0,0,9.18,0,0,0.57,1.15,0.57,1.72,0,0,29.84,0.57,1.72,114.76,0.57,0.57,1.72,0,2.87,0,0,0.57,0,21.23,1.72,0,0.57
 60-70,0,0,0,6.87,0,0.98,98.15,0.98,0,10.8,0,0,0,1.96,0,0.98,0,0,21.59,2.94,1.96,94.23,0.98,0,1.96,0,0.98,0,0,0,0,3.93,0.98,0,2.94
 72-82,0,0,0,7.85,0,0,74.61,0,1.96,21.6,0,0,0.98,2.94,0.98,0.98,0.98,0.98,33.38,2.94,4.91,66.75,0,0.98,6.87,0,1.96,0,0,0,0,4.91,0,0,0
 84-94,0,0,0,7.43,2.12,0,46.73,1.06,0,13.81,2.12,0,0,9.56,0,3.19,0,0,37.17,3.19,5.31,54.16,0,2.12,5.31,0,5.31,0,0,0,0,1.06,3.19,0,0
 96-106,0,0,0,4.37,1.09,2.19,31.69,2.19,1.09,13.11,0,0,0,0,0,2.19,7.65,0,18.58,1.09,2.19,62.29,0,1.09,4.37,0,4.37,0,0,0,0,1.09,7.65,1.09,1.09
108-118,0,0,0,7.66,2.3,0,29.11,0.77,0,13.79,1.53,0,0,2.3,0,5.36,3.83,0.77,20.68,2.3,3.06,76.6,0,1.53,6.13,0,6.13,0.77,0,0,0,3.06,1.53,0,0
120,0,0,0,7.84,0,0,23.52,1.96,0,17.64,1.96,0,0,1.96,1.96,1.96,0,1.96,25.48,0,5.88,45.08,0,1.96,1.96,0,3.92,0,0,0,0,0,3.92,0,0
