stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,6,89,10,0,9,0,0,0,1,4,2,2,10,0,0,1,1,23,0,0,16,199,5,1,7,6,0,7,1,21,3,3,25,58,0,0,4,0,0
 24-34,0,0.82,9.85,1.64,0,17.24,0,0.82,0.82,3.28,0,0.82,0.82,17.24,0.82,3.28,0,1.64,26.27,0.82,0,9.03,126.41,1.64,50.89,5.75,0,0,9.03,0,0,0.82,0.82,2.46,33.66,0,0,7.39,0,0.82
 36-46,0,0,9.67,49.95,0,60.43,0,1.61,4.83,8.86,0,0.81,14.5,18.53,1.61,4.83,0,2.42,47.53,3.22,0,15.31,273.93,1.61,65.26,4.03,0,0,14.5,0,0,0.81,0,0,49.15,0,0,4.03,0.81,3.22
 48-58,0,0,5.16,3.44,0,36.15,0,0.57,2.3,6.89,0,1.15,4.02,10.33,1.15,2.87,0.57,1.15,30.41,2.3,0.57,10.33,101.56,0,43.61,1.15,0,1.15,8.03,0,0,0,0,0,17.79,0,0,0.57,0,2.3
 60-70,0,0,6.87,1.96,0,65.76,0,0,1.96,8.83,0.98,0,3.93,10.8,0,10.8,0,0,37.3,0.98,2.94,2.94,144.28,1.96,49.08,3.93,0,0,7.85,0,0,0,0,0,19.63,0,0.98,1.96,0,1.96
 72-82,1.96,0,7.85,7.85,0,44.17,0.98,0,1.96,15.71,2.94,0.98,2.94,21.6,1.96,19.63,0,0,35.34,0,2.94,5.89,66.75,0,115.84,3.93,0,0,6.87,0,0,0,0,0,8.83,0.98,1.96,2.94,0.98,0.98
 84-94,1.06,0,21.24,13.81,0,42.48,0,1.06,0,10.62,7.43,0,7.43,54.16,2.12,45.67,2.12,4.25,35.05,2.12,4.25,8.5,56.29,0,137,10.62,0,0,31.86,0,0,3.19,1.06,0,1.06,2.12,0,6.37,1.06,5.31
 96-106,0,0,28.41,8.74,0,42.62,1.09,3.28,1.09,10.93,16.39,1.09,10.93,53.55,2.19,73.22,4.37,0,46.99,3.28,0,8.74,64.48,0,237.15,10.93,0,0,20.76,0,0,2.19,0,0,5.46,4.37,1.09,6.56,2.19,2.19
108-118,0,0,19.92,13.02,0.77,17.62,1.53,2.3,0.77,16.85,6.89,1.53,18.38,77.36,1.53,59.75,3.83,3.06,47.49,4.6,1.53,6.13,81.96,0.77,159.32,9.96,0,0.77,16.09,0,0,0.77,1.53,0,0.77,4.6,1.53,8.43,3.06,3.06
120,0,0,29.4,3.92,0,15.68,0,3.92,0,5.88,0,0,9.8,33.32,1.96,43.12,0,0,19.6,1.96,0,0,50.95,1.96,129.35,3.92,0,0,9.8,0,0,1.96,0,0,0,0,0,1.96,0,0
