stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,9,0,0,0,0,2,0,0,0,0,2,0,3,4,0,354,0,0,6,0,0,0,1,6,0,0,4
 24-34,0,0,0,4.93,1.64,9.03,0,0,4.1,0,0,0.82,1.64,11.49,0,0.82,6.57,3.28,1067.93,3.28,2.46,19.7,2.46,0,0.82,0,43.51,0.82,0,4.93
 36-46,0,0,0.81,1.61,0,8.86,0.81,0,4.83,0.81,0,0,0,9.67,0,2.42,4.03,3.22,811.31,0,0,16.92,0,0.81,0,0,70.9,1.61,0,3.22
 48-58,0,0,0,1.15,0,17.79,0,0,12.05,0,0,0,0.57,8.61,1.15,0.57,6.31,1.72,393.63,0,0,17.21,0.57,0,0.57,0,60.82,0,0,1.15
 60-70,0,0,0,0,0,4.91,0,0.98,12.76,0,0,0,0,14.72,0,0,3.93,0,70.67,0,0,16.69,0,0,0,0,14.72,0,0,0.98
 72-82,0,0,0,0.98,1.96,6.87,0,0,10.8,0,0.98,0,0,22.58,0,0,2.94,0,64.79,0,0,45.16,0,0,0,0,3.93,0,0,1.96
 84-94,0,0,0,1.06,0,7.43,0,0,6.37,2.12,0,0,1.06,55.23,0,0,4.25,0,28.68,0,0,63.72,1.06,0,0,0,5.31,0,0,0
 96-106,0,0,0,7.65,2.19,9.84,0,0,12.02,0,0,1.09,1.09,51.36,1.09,0,5.46,0,31.69,0,1.09,73.22,1.09,0,0,0,0,0,1.09,0
108-118,0,0,0,2.3,0,3.83,0,0,13.02,0,0,0.77,0,43.66,0,0,2.3,0.77,36,0,0,58.21,0,0,0,0,0.77,1.53,0.77,0
120,1.96,0,0,1.96,0,5.88,0,0,3.92,0,0,3.92,0,25.48,0,0,3.92,1.96,43.12,0,0,50.95,0,0,0,0,0,0,0,0
