stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,neural,olfactory,periderm,spinal_cord,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,6.13,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,3,0
 24-34,0,0,0,0,0,0,16.42,0,0,5.75,0
 36-46,0,0,0,0,0.81,0,16.11,0,0,11.28,0
 48-58,0,0,0,1.15,0.57,0,20.66,0,0,11.48,0
 60-70,0,0,0,3.93,2.94,0.98,42.21,0.98,0,14.72,0.98
 72-82,0,0,0,5.89,1.96,0,39.27,1.96,0,13.74,0
 84-94,0,0,0,5.31,1.06,1.06,23.36,1.06,0,1.06,0
 96-106,0,0,0,3.28,0,1.09,26.23,1.09,0,2.19,0
108-118,0,0,0.77,3.06,0.77,0.77,29.11,0,0,3.06,0
120,0,0,0,0,0,1.96,39.2,1.96,0,0,0
