stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,18.39,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,7.89,2.63,5.26,0,0,15.77,0,0,0,0,10.51,0,0,0,0,0,0,155.09,0,0,0,44.69,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,135.32,0,0,0,40.91,0,3.15,3.15,0,3.15,0,0
 14-21,1,0,1,17,3,1,0,0,0,1,1,1,0,0,0,4,1,20,1,0,0,1,0,11,3,10,13,0,0
 24-34,0,0,0,1.64,0,0.82,0,0,0.82,0,0,0,0,0,0,2.46,1.64,5.75,0,1.64,0,0,4.1,0,0,0.82,1.64,0.82,0
 36-46,0,0,0,0,0,0.81,0,0,1.61,0,0,0.81,0,0,0.81,0.81,0,2.42,0,0,0.81,0,2.42,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,1.72,0,0,0,0,0,0,0.57,0,0,0.57,0,1.72,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,2.94,0,0,0,0,0,0
 72-82,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,0,0,0,1.06,0,0,0,1.06,0,0,0,0,1.06,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0,1.09,0,0,0,1.09
108-118,0,0,0,0.77,0,0,0.77,0,0,0.77,0,0,0,0.77,0,0,0,1.53,0.77,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
