stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,24.52,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,10.51,0,5.26,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,170.87,2.63,0,0,47.32,0,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.44,0,0,0,22.03,0,0,3.15,3.15,0,0,0,0
 14-21,0,0,0,7,0,1,0,6,0,0,0,0,1,0,0,0,5,0,0,4,81,1,0,0,1,2,0,5,1,4,27,0,0
 24-34,0,0,0.82,1.64,0,34.48,0,2.46,0,0,0,0,0,0,0,0,21.34,0,0,4.1,274.17,0,0.82,0.82,0,2.46,0,0,0,0.82,67.31,0.82,0
 36-46,0,0,0,0.81,0,116.02,0.81,4.03,0.81,0,0,0,0,0,0,0,16.92,0,0,3.22,202.22,0,1.61,0,0,0.81,0,0,0,0,33.03,0,0.81
 48-58,0,0,0,1.15,0,117.06,0,3.44,0.57,0,0,0,0,0,0,0,18.94,0.57,0.57,2.87,82.63,0,0,0,0,1.72,0,0,0,0,11.48,0,0
 60-70,0,0,0,0,0,95.21,0,3.93,0.98,0,0,0,0,0.98,0,0.98,14.72,0,0.98,0.98,61.84,0,0,1.96,0,0,0,0,0,0,1.96,0.98,0
 72-82,0,0,0,0,0,29.45,0,2.94,0.98,0,0.98,0,0,0,0,0,13.74,0,0,0,21.6,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,25.49,0,3.19,2.12,0,0,1.06,0,0,1.06,0,10.62,0,0,1.06,16.99,0,0,0,0,0,0,0,0,0,0,2.12,0
 96-106,0,0,0,1.09,0,12.02,0,2.19,1.09,0,0,0,0,0,0,0,6.56,0,0,1.09,13.11,0,0,1.09,0,0,0,0,1.09,0,0,1.09,0
108-118,0,0,0,1.53,0,10.72,0,1.53,0.77,0,0,0.77,0,0,0,0,3.06,0,0,0.77,14.55,0,0,0,0,0,0,0,0,0,0,1.53,0
120,0,0,0,0,1.96,21.56,0,1.96,0,0,0,0,0,0,1.96,0,1.96,0,0,0,25.48,0,0,1.96,0,0,0,0,0,0,0,1.96,0
