stage,erythrocytes,eye,glial,mesenchyme,muscle,neural,notochord,otic,spinal_cord,vascular_smooth_muscle,vasculature
 10-12,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,2,0,0,0,0,4
 24-34,0.82,0,0,0,0,2.46,0,0,0.82,0,1.64
 36-46,0,0.81,0,0,0,1.61,0,0,0,0,0
 48-58,0,3.44,0,0.57,0,2.3,0,0.57,0,0,2.3
 60-70,0,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,1.96,0,0,0.98,0.98,0,0,0,0,0.98
 84-94,0,0,0,1.06,0,3.19,0,0,1.06,1.06,0
 96-106,0,1.09,0,0,0,2.19,0,0,0,0,0
108-118,0,0,0,0,0,1.53,0.77,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,1.96
