stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,7,0,9,0,0,6,0,0,0,0,0,0,0,3,0,0,92,1,1,1,0,0,1,0,1,55,0,1
 24-34,0,0,1.64,0,9.03,0,0,7.39,0,0.82,0,0,0,0,0,3.28,0,0,141.19,0.82,9.03,1.64,0,0,0.82,0.82,0.82,55,0,0.82
 36-46,0,0,0.81,0,23.36,0,0,5.64,0,0,0,0,0,0,0,3.22,0,0,281.18,0,7.25,2.42,0,1.61,0,0,0,70.9,0,0.81
 48-58,0,0,2.3,0,24.1,0,0,9.18,0,0,0,0,0,0,0,5.16,0,0.57,291.49,0,6.31,2.3,0,0,0.57,0,0,59.68,0,0.57
 60-70,0,0,0,0,61.84,0,0,20.61,0,2.94,0,0,0,0.98,0,7.85,0,0,396.53,0,10.8,2.94,0,0,0,0,0,70.67,0,1.96
 72-82,0,0,2.94,0,33.38,0,0,22.58,2.94,0,0,0,0,1.96,0,5.89,0,0,232.65,0,11.78,1.96,0,0,0,0,0,22.58,0,0
 84-94,0,0,3.19,1.06,32.92,1.06,0,11.68,0,1.06,0,1.06,0,0,0,9.56,0,0,140.19,0,4.25,5.31,0,0,0,0,0,22.3,0,1.06
 96-106,0,3.28,0,1.09,34.97,0,1.09,17.49,1.09,1.09,1.09,0,0,1.09,1.09,5.46,1.09,0,135.51,0,4.37,7.65,0,0,0,0,0,12.02,0,1.09
108-118,0,0,4.6,0,26.04,0,0,13.79,0.77,0.77,0,0.77,0.77,1.53,0,6.13,0,0.77,124.85,0,6.89,3.06,0,0,0.77,0,0,2.3,1.53,0.77
120,0,3.92,1.96,0,13.72,1.96,0,11.76,0,0,0,0,0,0,1.96,3.92,0,0,121.51,0,11.76,3.92,0,0,0,0,0,3.92,0,0
