stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,neural,olfactory,periderm,presomitic_mesoderm,pronephros,vasculature
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
 24-34,0,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,1.64,0,0.82,0,6.57,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,6.45,0.81
 48-58,0,0,0.57,0,0,2.87,0,0,0.57,0.57,0,0,0,1.15,0,0.57,2.3,0,0,0,1.15,0
 60-70,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,3.93,0
 72-82,0.98,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0.98,0,0.98,0,3.93,0.98
 84-94,0,0,0,0,0,1.06,1.06,1.06,0,0,2.12,0,0,0,0,1.06,5.31,0,1.06,0,9.56,1.06
 96-106,0,0,1.09,0,0,4.37,1.09,0,0,7.65,0,0,1.09,0,1.09,3.28,8.74,0,6.56,0,7.65,2.19
108-118,0.77,0.77,1.53,0,0.77,1.53,0,0.77,0,8.43,0.77,0.77,0.77,0.77,0,0,5.36,0,3.06,0,7.66,0
120,0,0,1.96,0,0,1.96,0,0,0,17.64,0,0,0,0,0,0,9.8,1.96,15.68,0,13.72,1.96
